Holdings details,,,,,,,,,
,,,,,,,,,
Small-Cap Growth ETF (VBK),,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Equity,as of 02/29/2024,,,,,,,,
,,,,,,,,,
,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,B1VQR35,Super Micro Computer Inc,SMCI,1.59%,"Technology Hardware, Storage & Peripherals",US,---,"$556,633,671.00 ","642,675"
,BL3LWS8,Vertiv Holdings Co,VRT,0.96%,Electrical Equipment,US,---,"$335,670,345.78 ","4,964,069"
,2267278,Deckers Outdoor Corp,DECK,0.95%,"Textiles, Apparel & Luxury Goods",US,---,"$333,233,813.97 ","372,083"
,B55PZY3,Targa Resources Corp,TRGP,0.91%,"Oil, Gas & Consumable Fuels",US,---,"$316,803,959.04 ","3,224,796"
,BDT5S35,Axon Enterprise Inc,AXON,0.91%,Aerospace & Defense,US,---,"$316,430,960.23 ","1,029,479"
,B95N910,PTC Inc,PTC,0.86%,Software,US,---,"$299,860,603.93 ","1,638,493"
,2599700,Entegris Inc,ENTG,0.83%,Semiconductors & Semiconductor Equipment,US,---,"$291,755,350.20 ","2,171,445"
,BLDDH12,DraftKings Inc,DKNG,0.75%,"Hotels, Restaurants & Leisure",US,---,"$262,854,366.84 ","6,067,737"
,BYZ62T3,Pure Storage Inc. Class A,PSTG,0.65%,"Technology Hardware, Storage & Peripherals",US,---,"$225,626,941.80 ","4,285,412"
,2239471,Manhattan Associates Inc,MANH,0.65%,Software,US,---,"$225,551,605.51 ","890,347"
,2380443,Graco Inc,GGG,0.64%,Machinery,US,---,"$222,613,803.36 ","2,439,336"
,2982399,Saia Inc,SAIA,0.63%,Ground Transportation,US,---,"$220,895,484.60 ","383,899"
,BPLYVN5,Liberty Media Corp-Liberty Formula One,FWONK,0.63%,Entertainment,US,---,"$218,971,001.72 ","3,009,497"
,BYQBFT8,Nutanix Inc,NTNX,0.63%,Software,US,---,"$218,845,484.08 ","3,464,938"
,2442053,Lennox International Inc,LII,0.62%,Building Products,US,---,"$217,950,646.14 ","462,534"
,2516851,Lincoln Electric Holdings Inc,LECO,0.61%,Machinery,US,---,"$212,232,320.40 ","827,094"
,BMWGSD8,RB Global Inc,RBA,0.57%,Commercial Services & Supplies,US,---,"$200,166,699.45 ","2,636,895"
,2641838,Nordson Corp,NDSN,0.56%,Machinery,US,---,"$197,168,352.15 ","742,211"
,BJV2RD9,Dynatrace Inc,DT,0.54%,Software,US,---,"$189,875,550.45 ","3,831,999"
,2604336,Charles River Laboratories International Inc,CRL,0.54%,Life Sciences Tools & Services,US,---,"$188,575,681.11 ","741,869"
,2623911,Neurocrine Biosciences Inc,NBIX,0.53%,Biotechnology,US,---,"$185,269,842.40 ","1,420,781"
,BZ0P3W2,TopBuild Corp,BLD,0.53%,Household Durables,US,---,"$184,849,750.58 ","459,391"
,BYQHP96,Floor & Decor Holdings Inc,FND,0.51%,Specialty Retail,US,---,"$177,325,978.24 ","1,464,052"
,2943039,Watsco Inc,WSO,0.51%,Trading Companies & Distributors,US,---,"$177,233,793.40 ","449,695"
,BP7RS59,Advanced Drainage Systems Inc,WMS,0.50%,Building Products,US,---,"$174,695,856.72 ","1,070,178"
,BSHZ3Q0,Bio-Techne Corp,TECH,0.48%,Life Sciences Tools & Services,US,---,"$168,273,276.78 ","2,287,254"
,BCF5RR9,American Homes 4 Rent,AMH,0.47%,Residential REITs,US,---,"$164,502,936.24 ","4,444,824"
,B8DPDT7,Sarepta Therapeutics Inc,SRPT,0.47%,Biotechnology,US,---,"$164,358,790.30 ","1,285,057"
,BD1MGQ3,Kinsale Capital Group Inc,KNSL,0.47%,Insurance,US,---,"$164,342,420.76 ","318,382"
,2179414,Casey's General Stores Inc,CASY,0.47%,Consumer Staples Distribution & Retail,US,---,"$164,173,091.26 ","539,174"
,B19HX21,Celsius Holdings Inc,CELH,0.47%,Beverages,US,---,"$164,078,074.16 ","2,010,268"
,2563125,Equity LifeStyle Properties Inc,ELS,0.47%,Residential REITs,US,---,"$163,394,997.48 ","2,427,139"
,BDDQ975,elf Beauty Inc,ELF,0.45%,Personal Care Products,US,---,"$158,130,801.36 ","758,312"
,B85KFY9,Five Below Inc,FIVE,0.44%,Specialty Retail,US,---,"$153,526,019.72 ","765,029"
,2506658,Lattice Semiconductor Corp,LSCC,0.44%,Semiconductors & Semiconductor Equipment,US,---,"$152,935,547.07 ","1,996,287"
,2719951,Exact Sciences Corp,EXAS,0.43%,Biotechnology,US,---,"$150,444,516.86 ","2,615,062"
,BFX1V56,Dayforce Inc,DAY,0.43%,Professional Services,US,---,"$149,671,893.76 ","2,145,526"
,BC9ZHL9,Rexford Industrial Realty Inc,REXR,0.43%,Industrial REITs,US,---,"$149,415,327.36 ","2,936,622"
,2311711,Erie Indemnity Co,ERIE,0.43%,Insurance,US,---,"$149,404,301.60 ","367,195"
,BYYXHN4,Wingstop Inc,WING,0.43%,"Hotels, Restaurants & Leisure",US,---,"$149,364,402.95 ","425,479"
,2731654,Repligen Corp,RGEN,0.43%,Life Sciences Tools & Services,US,---,"$148,798,283.59 ","767,041"
,BFXCLC6,Elastic NV,ESTC,0.42%,Software,US,---,"$147,348,360.56 ","1,101,176"
,2816023,A O Smith Corp,AOS,0.42%,Building Products,US,---,"$147,172,867.40 ","1,775,306"
,2963811,Wynn Resorts Ltd,WYNN,0.42%,"Hotels, Restaurants & Leisure",US,---,"$146,073,671.60 ","1,388,533"
,B033TJ7,Texas Roadhouse Inc,TXRH,0.41%,"Hotels, Restaurants & Leisure",US,---,"$144,343,251.39 ","966,347"
,2483074,Trex Co Inc,TREX,0.41%,Building Products,US,---,"$144,076,321.68 ","1,570,143"
,BYQRG48,Natera Inc,NTRA,0.41%,Biotechnology,US,---,"$142,764,632.01 ","1,650,649"
,B6SW913,CubeSmart,CUBE,0.41%,Specialized REITs,US,---,"$141,878,419.06 ","3,253,346"
,B7JYSG3,Guidewire Software Inc,GWRE,0.40%,Software,US,---,"$141,414,319.80 ","1,184,970"
,BDCBC61,Medpace Holdings Inc,MEDP,0.40%,Life Sciences Tools & Services,US,---,"$141,157,761.92 ","355,096"
,BZ8VJQ8,Vistra Corp,VST,0.40%,Independent Power and Renewable Electricity Producers,US,---,"$140,917,070.52 ","2,583,738"
,BP0TQN6,Robinhood Markets Inc,HOOD,0.40%,Capital Markets,US,---,"$139,241,046.98 ","8,537,158"
,BHLNZ89,Shockwave Medical Inc,SWAV,0.40%,Health Care Equipment & Supplies,US,---,"$139,213,797.24 ","533,652"
,2897040,Toro Co/The,TTC,0.40%,Machinery,US,---,"$138,636,696.60 ","1,501,860"
,BMV3LG4,AppLovin Corp,APP,0.39%,Software,US,---,"$137,144,830.08 ","2,296,464"
,2190084,Chemed Corp,CHE,0.39%,Health Care Providers & Services,US,---,"$136,290,969.36 ","217,672"
,2974329,MicroStrategy Inc,MSTR,0.39%,Software,US,---,"$135,900,659.44 ","132,866"
,B8383P2,WEX Inc,WEX,0.39%,Financial Services,US,---,"$135,827,857.34 ","618,158"
,BP6D7B7,Toast Inc,TOST,0.38%,Financial Services,US,---,"$134,377,086.00 ","5,842,482"
,BZ0W624,BWX Technologies Inc,BWXT,0.38%,Aerospace & Defense,US,---,"$133,527,051.57 ","1,324,279"
,BNXKS92,Core & Main Inc,CNM,0.38%,Trading Companies & Distributors,US,---,"$132,342,737.01 ","2,772,737"
,2241205,Curtiss-Wright Corp,CW,0.37%,Aerospace & Defense,US,---,"$130,762,686.42 ","553,446"
,BKZ7N95,Onto Innovation Inc,ONTO,0.37%,Semiconductors & Semiconductor Equipment,US,---,"$130,728,554.24 ","709,864"
,BDSFG98,TechnipFMC PLC,FTI,0.37%,Energy Equipment & Services,US,---,"$129,808,056.24 ","5,984,696"
,2216991,Tempur Sealy International Inc,TPX,0.37%,Household Durables,US,---,"$128,956,036.43 ","2,367,469"
,BMWWGB0,Caesars Entertainment Inc,CZR,0.37%,"Hotels, Restaurants & Leisure",US,---,"$128,838,124.80 ","2,963,840"
,2809250,Simpson Manufacturing Co Inc,SSD,0.37%,Building Products,US,---,"$128,821,294.20 ","617,315"
,2202473,Clean Harbors Inc,CLH,0.37%,Commercial Services & Supplies,US,---,"$128,226,625.50 ","704,155"
,2191399,Eagle Materials Inc,EXP,0.37%,Construction Materials,US,---,"$127,987,983.20 ","504,784"
,2954194,Vail Resorts Inc,MTN,0.36%,"Hotels, Restaurants & Leisure",US,---,"$126,883,997.37 ","550,927"
,BMHL0Z4,WillScot Mobile Mini Holdings Corp,WSC,0.36%,Construction & Engineering,US,---,"$125,716,916.25 ","2,632,815"
,BMD02L5,UiPath Inc,PATH,0.36%,Software,US,---,"$124,749,630.00 ","5,252,616"
,BZ0V201,Penumbra Inc,PEN,0.36%,Health Care Equipment & Supplies,US,---,"$124,595,695.00 ","530,375"
,BWTN5N1,Etsy Inc,ETSY,0.36%,Broadline Retail,US,---,"$124,151,594.96 ","1,731,784"
,2366799,Gentex Corp,GNTX,0.35%,Automobile Components,US,---,"$123,303,362.00 ","3,375,400"
,B1FLZ21,Ciena Corp,CIEN,0.35%,Communications Equipment,US,---,"$121,861,929.42 ","2,138,679"
,2428042,Skechers USA Inc,SKX,0.34%,"Textiles, Apparel & Luxury Goods",US,---,"$119,484,045.66 ","1,933,086"
,2194105,Churchill Downs Inc,CHDN,0.34%,"Hotels, Restaurants & Leisure",US,---,"$118,386,102.31 ","971,413"
,BN7CQS9,Blue Owl Capital Inc,OWL,0.34%,Capital Markets,US,---,"$118,377,431.16 ","6,591,171"
,BMCM6P4,Duolingo Inc,DUOL,0.34%,Diversified Consumer Services,US,---,"$117,599,472.00 ","492,048"
,B03Q9D0,MarketAxess Holdings Inc,MKTX,0.33%,Capital Markets,US,---,"$117,006,514.11 ","548,271"
,B0GLYB5,RBC Bearings Inc,RBC,0.33%,Machinery,US,---,"$114,768,667.80 ","420,660"
,2277880,Universal Display Corp,OLED,0.32%,Semiconductors & Semiconductor Equipment,US,---,"$113,545,501.38 ","650,989"
,B4JSZL8,Fabrinet,FN,0.32%,"Electronic Equipment, Instruments & Components",US,---,"$113,299,711.74 ","525,582"
,BYQHPG3,Carvana Co,CVNA,0.32%,Specialty Retail,US,---,"$112,721,729.64 ","1,484,548"
,2616137,Bruker Corp,BRKR,0.32%,Life Sciences Tools & Services,US,---,"$112,639,944.76 ","1,301,594"
,BM8J4C2,SoFi Technologies Inc,SOFI,0.32%,Consumer Finance,US,---,"$112,046,198.90 ","12,477,305"
,BMF9NM8,Affirm Holdings Inc,AFRM,0.32%,Financial Services,US,---,"$111,679,405.60 ","2,976,530"
,B081VR8,Morningstar Inc,MORN,0.32%,Capital Markets,US,---,"$110,705,228.40 ","370,760"
,2319414,EQT Corp,EQT,0.32%,"Oil, Gas & Consumable Fuels",US,---,"$110,561,409.15 ","2,976,081"
,BYQ7X81,SiteOne Landscape Supply Inc,SITE,0.31%,Trading Companies & Distributors,US,---,"$109,952,912.16 ","652,617"
,BN70ZC0,BellRing Brands Inc,BRBR,0.31%,Personal Care Products,US,---,"$107,891,831.95 ","1,894,501"
,BLNN369,Weatherford International PLC,WFRD,0.31%,Energy Equipment & Services,US,---,"$107,070,559.31 ","1,043,471"
,BDQZFJ3,Lamb Weston Holdings Inc,LW,0.31%,Food Products,US,---,"$107,018,367.24 ","1,047,044"
,2781585,Pool Corp,POOL,0.30%,Distributors,US,---,"$105,816,314.80 ","265,790"
,2567503,Host Hotels & Resorts Inc,HST,0.30%,Hotel & Resort REITs,US,---,"$105,689,816.34 ","5,095,941"
,BLH11J8,Procore Technologies Inc,PCOR,0.30%,Software,US,---,"$105,270,429.06 ","1,349,102"
,B3SKZK7,Americold Realty Trust Inc,COLD,0.30%,Industrial REITs,US,---,"$103,765,217.60 ","4,101,392"
,BKM4N88,Paylocity Holding Corp,PCTY,0.29%,Professional Services,US,---,"$102,761,050.60 ","609,460"
,BBBSBJ5,Cytokinetics Inc,CYTK,0.29%,Biotechnology,US,---,"$102,455,897.04 ","1,418,271"
,BP8XZL1,HealthEquity Inc,HQY,0.29%,Health Care Providers & Services,US,---,"$102,330,741.81 ","1,238,721"
,BKPVGH6,Vaxcyte Inc,PCVX,0.29%,Biotechnology,US,---,"$101,906,295.40 ","1,380,470"
,B1YWPP8,Ensign Group Inc/The,ENSG,0.29%,Health Care Providers & Services,US,---,"$101,886,375.96 ","815,613"
,B0T7Z62,Crocs Inc,CROX,0.29%,"Textiles, Apparel & Luxury Goods",US,---,"$101,755,887.75 ","832,359"
,B6197Q2,Generac Holdings Inc,GNRC,0.29%,Electrical Equipment,US,---,"$99,971,210.54 ","888,554"
,BKLJ8V2,Howmet Aerospace Inc,HWM,0.28%,Aerospace & Defense,US,---,"$99,136,274.05 ","1,489,651"
,2503994,Landstar System Inc,LSTR,0.28%,Ground Transportation,US,---,"$98,818,219.80 ","519,549"
,BKPVG43,AZEK Co Inc/The,AZEK,0.28%,Building Products,US,---,"$98,727,878.08 ","2,052,128"
,2576941,Exelixis Inc,EXEL,0.28%,Biotechnology,US,---,"$98,567,169.60 ","4,500,784"
,B57VWJ3,SPS Commerce Inc,SPSC,0.28%,Software,US,---,"$98,299,962.72 ","530,892"
,B5B82X4,Hyatt Hotels Corp,H,0.28%,"Hotels, Restaurants & Leisure",US,---,"$98,275,943.81 ","639,859"
,2208288,Cognex Corp,CGNX,0.28%,"Electronic Equipment, Instruments & Components",US,---,"$98,241,506.55 ","2,490,279"
,B7MSLL8,Matador Resources Co,MTDR,0.28%,"Oil, Gas & Consumable Fuels",US,---,"$97,941,418.95 ","1,550,933"
,BMTVT22,Gitlab Inc,GTLB,0.28%,Software,US,---,"$97,746,327.48 ","1,355,329"
,2250289,Darling Ingredients Inc,DAR,0.28%,Food Products,US,---,"$97,630,155.76 ","2,307,496"
,2755706,Royal Gold Inc,RGLD,0.28%,Metals & Mining,US,---,"$97,554,638.61 ","950,547"
,B8QV5C9,Ryman Hospitality Properties Inc,RHP,0.28%,Hotel & Resort REITs,US,---,"$97,106,563.44 ","819,603"
,BN2RYW9,NOV Inc,NOV,0.28%,Energy Equipment & Services,US,---,"$96,306,373.80 ","5,698,602"
,B7MJWP2,Bright Horizons Family Solutions Inc,BFAM,0.28%,Diversified Consumer Services,US,---,"$96,232,579.50 ","837,825"
,BYQ3PM7,Houlihan Lokey Inc,HLI,0.27%,Capital Markets,US,---,"$95,972,383.08 ","745,938"
,BP7L1B8,SentinelOne Inc,S,0.27%,Software,US,---,"$93,759,704.01 ","3,328,353"
,B1YWR63,Masimo Corp,MASI,0.27%,Health Care Equipment & Supplies,US,---,"$93,358,087.84 ","726,296"
,BMG9GG2,Civitas Resources Inc,CIVI,0.27%,"Oil, Gas & Consumable Fuels",US,---,"$93,210,572.96 ","1,357,172"
,B7D65M0,Globus Medical Inc,GMED,0.26%,Health Care Equipment & Supplies,US,---,"$92,322,846.01 ","1,709,999"
,2721967,Rambus Inc,RMBS,0.26%,Semiconductors & Semiconductor Equipment,US,---,"$92,158,364.72 ","1,555,678"
,BHCB0P4,Intra-Cellular Therapies Inc,ITCI,0.26%,Pharmaceuticals,US,---,"$91,930,397.68 ","1,322,359"
,BF108P4,Wyndham Hotels & Resorts Inc,WH,0.26%,"Hotels, Restaurants & Leisure",US,---,"$91,774,493.65 ","1,198,883"
,2469193,Jack Henry & Associates Inc,JKHY,0.26%,Financial Services,US,---,"$91,444,029.72 ","526,236"
,BNXH3Z4,Confluent Inc,CFLT,0.26%,Software,US,---,"$91,327,847.01 ","2,696,423"
,2526117,ATI Inc,ATI,0.26%,Metals & Mining,US,---,"$90,770,640.76 ","1,845,682"
,2416779,Hexcel Corp,HXL,0.26%,Aerospace & Defense,US,---,"$90,611,490.90 ","1,216,915"
,BYTQ6X1,Apellis Pharmaceuticals Inc,APLS,0.26%,Biotechnology,US,---,"$90,298,036.25 ","1,457,125"
,BD8S5H8,Novanta Inc,NOVT,0.26%,"Electronic Equipment, Instruments & Components",US,---,"$89,575,310.64 ","517,956"
,BDJ0LS6,Ionis Pharmaceuticals Inc,IONS,0.26%,Biotechnology,US,---,"$89,151,136.14 ","1,971,934"
,BNNTGF1,GXO Logistics Inc,GXO,0.25%,Air Freight & Logistics,US,---,"$89,100,181.60 ","1,721,410"
,B19HNF4,Chart Industries Inc,GTLS,0.25%,Machinery,US,---,"$88,345,624.02 ","618,407"
,BMW7N69,ChampionX Corp,CHX,0.25%,Energy Equipment & Services,US,---,"$87,546,337.20 ","2,818,620"
,BG0T321,Dropbox Inc,DBX,0.25%,Software,US,---,"$87,167,653.60 ","3,639,568"
,B7XJTN8,Qualys Inc,QLYS,0.25%,Software,US,---,"$86,782,253.74 ","504,959"
,2531832,Littelfuse Inc,LFUS,0.25%,"Electronic Equipment, Instruments & Components",US,---,"$85,702,551.68 ","359,732"
,BMWF095,ZoomInfo Technologies Inc,ZI,0.24%,Interactive Media & Services,US,---,"$85,054,854.72 ","5,074,872"
,BJSP4C9,Installed Building Products Inc,IBP,0.24%,Household Durables,US,---,"$83,469,000.85 ","349,345"
,BKM5C62,Option Care Health Inc,OPCH,0.24%,Health Care Providers & Services,US,---,"$82,722,499.23 ","2,563,449"
,BWY52P3,Blueprint Medicines Corp,BPMC,0.24%,Biotechnology,US,---,"$82,248,502.00 ","879,475"
,BF7J7N6,Tenable Holdings Inc,TENB,0.23%,Software,US,---,"$81,495,436.96 ","1,692,181"
,BR9YYP4,Qorvo Inc,QRVO,0.23%,Semiconductors & Semiconductor Equipment,US,---,"$80,568,971.60 ","703,352"
,BP2V812,Aspen Technology Inc,AZPN,0.23%,Software,US,---,"$80,302,064.07 ","414,163"
,B3N4753,Terreno Realty Corp,TRNO,0.23%,Industrial REITs,US,---,"$79,318,808.20 ","1,233,574"
,BLR7B52,Marathon Digital Holdings Inc,MARA,0.23%,Software,US,---,"$79,255,217.30 ","3,060,047"
,BS7K7M9,Freshpet Inc,FRPT,0.23%,Food Products,US,---,"$78,879,341.86 ","697,862"
,2036047,Comfort Systems USA Inc,FIX,0.23%,Construction & Engineering,US,---,"$78,851,741.49 ","257,913"
,2268130,AAON Inc,AAON,0.23%,Building Products,US,---,"$78,826,567.30 ","938,635"
,BFZND98,Smartsheet Inc. Class A,SMAR,0.22%,Software,US,---,"$78,402,035.88 ","1,857,428"
,BFYT7B7,DocuSign Inc,DOCU,0.22%,Software,US,---,"$78,333,694.81 ","1,470,503"
,B1FT462,Armstrong World Industries Inc,AWI,0.22%,Building Products,US,---,"$77,091,258.58 ","639,178"
,BYSFJV8,Planet Fitness Inc,PLNT,0.22%,"Hotels, Restaurants & Leisure",US,---,"$76,733,946.35 ","1,236,647"
,BDT5KT5,Inspire Medical Systems Inc,INSP,0.22%,Health Care Equipment & Supplies,US,---,"$76,493,049.60 ","427,240"
,BNXKSK3,Ryan Specialty Holdings Inc,RYAN,0.22%,Insurance,US,---,"$76,232,647.26 ","1,455,377"
,2975098,Halozyme Therapeutics Inc,HALO,0.22%,Biotechnology,US,---,"$76,117,476.39 ","1,912,019"
,BJZ2ZR5,Varonis Systems Inc,VRNS,0.22%,Software,US,---,"$76,110,744.40 ","1,498,243"
,BPK3058,Samsara Inc,IOT,0.22%,Software,US,---,"$76,030,557.25 ","2,200,595"
,BQBBFD1,TKO Group Holdings Inc,TKO,0.22%,Entertainment,US,---,"$75,793,400.76 ","905,212"
,BPQWHP8,Healthcare Realty Trust Inc,HR,0.22%,Health Care REITs,US,---,"$75,774,800.66 ","5,498,897"
,BQXZP64,Wayfair Inc,W,0.22%,Specialty Retail,US,---,"$75,601,288.80 ","1,268,478"
,2120490,Casella Waste Systems Inc,CWST,0.21%,Commercial Services & Supplies,US,---,"$74,173,023.00 ","823,230"
,2018669,Maximus Inc,MMS,0.21%,Professional Services,US,---,"$73,734,159.30 ","881,355"
,2072074,Balchem Corp,BCPC,0.21%,Chemicals,US,---,"$73,170,530.29 ","465,491"
,2333986,Federal Signal Corp,FSS,0.21%,Machinery,US,---,"$72,211,774.09 ","881,599"
,B3P6D26,Alkermes PLC,ALKS,0.21%,Biotechnology,US,---,"$71,722,281.45 ","2,415,705"
,BZ22B38,Ollie's Bargain Outlet Holdings Inc,OLLI,0.20%,Broadline Retail,US,---,"$71,608,244.85 ","893,205"
,BP96PQ4,Catalent Inc,CTLT,0.20%,Pharmaceuticals,US,---,"$71,069,374.92 ","1,239,438"
,BK80XH9,Match Group Inc,MTCH,0.20%,Interactive Media & Services,US,---,"$70,738,338.92 ","1,962,773"
,B07LST0,ExlService Holdings Inc,EXLS,0.20%,Professional Services,US,---,"$70,435,669.84 ","2,263,357"
,BM99VY2,Texas Pacific Land Corp,TPL,0.20%,"Oil, Gas & Consumable Fuels",US,---,"$69,999,061.44 ","44,432"
,BSPHGN6,Lamar Advertising Co,LAMR,0.20%,Specialized REITs,US,---,"$69,929,618.55 ","632,561"
,B04NJM9,Dolby Laboratories Inc,DLB,0.20%,Software,US,---,"$69,425,829.00 ","857,109"
,2320148,Euronet Worldwide Inc,EEFT,0.20%,Financial Services,US,---,"$69,227,256.96 ","632,559"
,BLKFTK4,FTAI Aviation Ltd,FTAI,0.20%,Trading Companies & Distributors,US,---,"$68,886,857.65 ","1,223,785"
,BYN7H48,Appfolio Inc,APPF,0.20%,Software,US,---,"$68,266,959.10 ","281,990"
,BN2QTL0,Noble Corp PLC,NE,0.19%,Energy Equipment & Services,US,---,"$68,146,955.20 ","1,629,920"
,B5B15Y5,MACOM Technology Solutions Holdings Inc,MTSI,0.19%,Semiconductors & Semiconductor Equipment,US,---,"$68,146,065.02 ","771,494"
,BPBSZJ1,Kite Realty Group Trust,KRG,0.19%,Retail REITs,US,---,"$67,979,918.68 ","3,175,148"
,BLF0L75,Shift4 Payments Inc,FOUR,0.19%,Financial Services,US,---,"$67,525,641.60 ","821,280"
,2069128,Badger Meter Inc,BMI,0.19%,"Electronic Equipment, Instruments & Components",US,---,"$67,262,343.40 ","423,860"
,BD6D4Y5,Altair Engineering Inc,ALTR,0.19%,Software,US,---,"$67,125,312.36 ","788,967"
,B01CGF1,NewMarket Corp,NEU,0.19%,Chemicals,US,---,"$66,763,838.49 ","104,047"
,BL71K91,REVOLUTION Medicines Inc,RVMD,0.19%,Biotechnology,US,---,"$66,373,011.32 ","2,251,459"
,2117232,Boyd Gaming Corp,BYD,0.19%,"Hotels, Restaurants & Leisure",US,---,"$65,427,699.40 ","989,380"
,2919290,Light & Wonder Inc,LNW,0.19%,"Hotels, Restaurants & Leisure",US,---,"$65,369,794.31 ","650,381"
,BNG8Z81,Coherent Corp,COHR,0.19%,"Electronic Equipment, Instruments & Components",US,---,"$65,194,659.96 ","1,096,077"
,BP8S8J5,Lantheus Holdings Inc,LNTH,0.18%,Health Care Equipment & Supplies,US,---,"$64,660,362.34 ","988,993"
,BKY7X18,Five9 Inc,FIVN,0.18%,Software,US,---,"$64,022,123.00 ","1,049,543"
,2568131,Silicon Laboratories Inc,SLAB,0.18%,Semiconductors & Semiconductor Equipment,US,---,"$63,240,204.30 ","459,795"
,BKS3RS7,10X Genomics Inc,TXG,0.18%,Life Sciences Tools & Services,US,---,"$63,237,170.48 ","1,355,857"
,2814005,Skyline Champion Corp,SKY,0.18%,Household Durables,US,---,"$62,841,159.36 ","749,984"
,BZBZ020,Herc Holdings Inc,HRI,0.18%,Trading Companies & Distributors,US,---,"$61,635,437.68 ","388,426"
,2948089,Woodward Inc,WWD,0.18%,Aerospace & Defense,US,---,"$61,341,574.60 ","433,540"
,2471949,Itron Inc,ITRI,0.17%,"Electronic Equipment, Instruments & Components",US,---,"$61,004,756.40 ","658,230"
,BMDX9Z7,DoubleVerify Holdings Inc,DV,0.17%,Software,US,---,"$60,785,063.99 ","1,967,791"
,B142B38,CommVault Systems Inc,CVLT,0.17%,Software,US,---,"$60,548,060.20 ","632,620"
,2580555,Merit Medical Systems Inc,MMSI,0.17%,Health Care Equipment & Supplies,US,---,"$60,394,062.60 ","792,573"
,BYMWL19,Glaukos Corp,GKOS,0.17%,Health Care Equipment & Supplies,US,---,"$59,307,461.40 ","669,460"
,BSS6HY8,Workiva Inc. Class A,WK,0.17%,Software,US,---,"$59,297,237.04 ","688,542"
,2330318,Exponent Inc,EXPO,0.17%,Professional Services,US,---,"$59,110,933.73 ","730,757"
,2350383,Franklin Electric Co Inc,FELE,0.17%,Machinery,US,---,"$59,005,408.88 ","567,578"
,2133045,Power Integrations Inc,POWI,0.17%,Semiconductors & Semiconductor Equipment,US,---,"$58,670,589.42 ","821,027"
,B3F1XM1,Grand Canyon Education Inc,LOPE,0.17%,Diversified Consumer Services,US,---,"$58,431,351.60 ","433,467"
,BJ62Z18,Ultragenyx Pharmaceutical Inc,RARE,0.17%,Biotechnology,US,---,"$58,359,348.12 ","1,128,371"
,BYXR425,RH,RH,0.17%,Specialty Retail,US,---,"$58,286,127.20 ","212,413"
,BMFND53,Alpha Metallurgical Resources Inc,AMR,0.17%,Metals & Mining,US,---,"$58,030,104.00 ","153,824"
,2503206,Lancaster Colony Corp,LANC,0.17%,Food Products,US,---,"$57,713,919.48 ","278,919"
,BV0LCR0,Shake Shack Inc,SHAK,0.16%,"Hotels, Restaurants & Leisure",US,---,"$57,641,494.32 ","542,151"
