SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
B0BV2M7,Builders FirstSource Inc,BLDR,0.79%,Building Products,US,---,"$423,278,863.62 ","2,168,659"
B5367T7,Booz Allen Hamilton Holding Corp,BAH,0.64%,Professional Services,US,---,"$338,588,247.50 ","2,292,250"
2729068,Reliance Inc,RS,0.61%,Metals & Mining,US,---,"$324,596,343.42 ","1,010,511"
2456612,IDEX Corp,IEX,0.59%,Machinery,US,---,"$313,654,999.00 ","1,329,610"
2471789,Jabil Inc,JBL,0.58%,"Electronic Equipment, Instruments & Components",US,---,"$307,937,188.53 ","2,137,117"
2176318,Carlisle Cos Inc,CSL,0.56%,Building Products,US,---,"$299,555,200.00 ","855,872"
2355582,First Citizens BancShares Inc/NC,FCNCA,0.53%,Banks,US,---,"$280,479,696.77 ","178,217"
2315359,Atmos Energy Corp,ATO,0.51%,Gas Utilities,US,---,"$273,612,544.80 ","2,423,280"
BQ6BPG9,Bunge Global SA,BG,0.50%,Food Products,US,---,"$267,845,935.61 ","2,838,253"
2756174,RPM International Inc,RPM,0.49%,Chemicals,US,---,"$261,278,131.50 ","2,265,090"
2474164,EMCOR Group Inc,EME,0.49%,Construction & Engineering,US,---,"$259,336,533.04 ","827,177"
BJ01KB6,Ovintiv Inc,OVV,0.44%,"Oil, Gas & Consumable Fuels",US,---,"$236,039,228.55 ","4,777,155"
B1FW7Q2,Owens Corning,OC,0.44%,Building Products,US,---,"$234,005,637.62 ","1,562,329"
2491594,Kimco Realty Corp,KIM,0.44%,Retail REITs,US,---,"$233,415,533.52 ","11,812,527"
B6Z1355,XPO Inc,XPO,0.44%,Ground Transportation,US,---,"$233,072,473.60 ","1,937,105"
BLS09M3,Pentair PLC,PNR,0.42%,Machinery,US,---,"$226,102,547.04 ","2,906,576"
2212922,NRG Energy Inc,NRG,0.41%,Electric Utilities,US,---,"$219,582,339.84 ","3,969,312"
2896092,Toll Brothers Inc,TOL,0.41%,Household Durables,US,---,"$216,612,050.72 ","1,889,498"
2967589,Williams-Sonoma Inc,WSM,0.40%,Specialty Retail,US,---,"$212,591,733.30 ","902,610"
B1VZ431,AECOM,ACM,0.40%,Construction & Engineering,US,---,"$212,437,033.83 ","2,391,501"
BYVYD43,Performance Food Group Co,PFGC,0.39%,Consumer Staples Distribution & Retail,US,---,"$210,012,856.47 ","2,735,611"
2431846,Juniper Networks Inc,JNPR,0.39%,Communications Equipment,US,---,"$207,614,360.59 ","5,606,653"
2728429,RenaissanceRe Holdings Ltd,RNR,0.39%,Insurance,US,---,"$207,484,129.80 ","922,890"
2731193,Reinsurance Group of America Inc,RGA,0.38%,Insurance,US,---,"$204,870,467.70 ","1,158,442"
BYR0914,Westrock Co,WRK,0.38%,Containers & Packaging,US,---,"$204,243,950.68 ","4,509,692"
BKRMR96,Equitable Holdings Inc,EQH,0.38%,Financial Services,US,---,"$203,798,123.52 ","5,952,048"
B40SSC9,Huntington Ingalls Industries Inc,HII,0.38%,Aerospace & Defense,US,---,"$203,680,822.52 ","698,446"
BKRTG56,Carlyle Group Inc/The,CG,0.38%,Capital Markets,US,---,"$203,604,215.15 ","4,440,659"
BFPK4S5,Gaming and Leisure Properties Inc,GLPI,0.38%,Specialized REITs,US,---,"$202,861,311.48 ","4,460,451"
2730082,Regal Rexnord Corp,RRX,0.38%,Electrical Equipment,US,---,"$200,061,262.94 ","1,166,606"
BYVFC94,US Foods Holding Corp,USFD,0.37%,Consumer Staples Distribution & Retail,US,---,"$197,589,708.33 ","3,890,327"
BFRT3W7,Allegion plc,ALLE,0.37%,Building Products,US,---,"$197,330,774.18 ","1,543,214"
2427599,F5 Inc,FFIV,0.37%,Communications Equipment,US,---,"$196,549,734.26 ","1,049,833"
BDVJJQ5,nVent Electric PLC,NVT,0.37%,Electrical Equipment,US,---,"$196,372,305.36 ","2,916,998"
BF09HX3,Tapestry Inc,TPR,0.36%,"Textiles, Apparel & Luxury Goods",US,---,"$191,536,916.83 ","4,029,811"
2430412,United Therapeutics Corp,UTHR,0.35%,Biotechnology,US,---,"$186,410,229.60 ","826,140"
BYVZ186,Cleveland-Cliffs Inc,CLF,0.35%,Metals & Mining,US,---,"$184,654,808.00 ","8,877,635"
BNNTGJ5,Bath & Body Works Inc,BBWI,0.34%,Specialty Retail,US,---,"$182,706,223.60 ","3,997,948"
BZBY209,ITT Inc,ITT,0.34%,Machinery,US,---,"$182,097,722.24 ","1,443,616"
BMZ5LZ5,Chesapeake Energy Corp,CHK,0.34%,"Oil, Gas & Consumable Fuels",US,---,"$181,234,227.44 ","2,189,348"
2849472,Steel Dynamics Inc,STLD,0.34%,Metals & Mining,US,---,"$180,885,163.10 ","1,351,705"
2797560,Service Corp International/US,SCI,0.34%,Diversified Consumer Services,US,---,"$180,657,365.46 ","2,468,334"
2487407,East West Bancorp Inc,EWBC,0.34%,Banks,US,---,"$180,580,887.04 ","2,478,464"
B3MC7D6,Fortune Brands Innovations Inc,FBIN,0.34%,Building Products,US,---,"$180,312,803.86 ","2,216,779"
BCV7KT2,American Airlines Group Inc,AAL,0.34%,Passenger Airlines,US,---,"$180,212,670.40 ","11,493,155"
BDFG6S3,Hubbell Inc,HUBB,0.34%,Electrical Equipment,US,---,"$179,426,139.81 ","471,343"
BJMLSD2,Karuna Therapeutics Inc,KRTX,0.33%,Biotechnology,US,---,"$177,014,402.18 ","563,794"
B72XK05,Ally Financial Inc,ALLY,0.33%,Consumer Finance,US,---,"$176,570,322.39 ","4,773,461"
BFZNZF8,BJ's Wholesale Club Holdings Inc,BJ,0.32%,Consumer Staples Distribution & Retail,US,---,"$171,279,092.16 ","2,345,004"
2923785,Universal Health Services Inc,UHS,0.32%,Health Care Providers & Services,US,---,"$170,204,570.38 ","1,018,823"
2692687,Brown & Brown Inc,BRO,0.32%,Insurance,US,---,"$168,541,093.98 ","2,001,438"
BPMQ7X2,Annaly Capital Management Inc,NLY,0.32%,Mortgage Real Estate Investment Trusts (REITs),US,---,"$167,870,473.06 ","8,793,634"
2331430,Assurant Inc,AIZ,0.31%,Insurance,US,---,"$167,732,017.10 ","924,398"
2824770,United States Steel Corp,X,0.31%,Metals & Mining,US,---,"$167,083,500.24 ","3,529,436"
B8DMK08,Tenet Healthcare Corp,THC,0.31%,Health Care Providers & Services,US,---,"$166,042,572.00 ","1,785,404"
2883890,Tetra Tech Inc,TTEK,0.31%,Commercial Services & Supplies,US,---,"$166,000,245.84 ","936,162"
2045247,AptarGroup Inc,ATR,0.30%,Containers & Packaging,US,---,"$162,454,771.86 ","1,156,591"
2019479,Boston Properties Inc,BXP,0.30%,Office REITs,US,---,"$160,768,945.68 ","2,484,069"
BNNF1C1,Apa Corp,APA,0.30%,"Oil, Gas & Consumable Fuels",US,---,"$160,656,367.77 ","5,392,963"
2134532,American Financial Group Inc/OH,AFG,0.30%,Insurance,US,---,"$159,811,560.85 ","1,251,755"
2040640,Jones Lang LaSalle Inc,JLL,0.30%,Real Estate Management & Development,US,---,"$159,160,110.72 ","836,628"
BDV82B8,Leidos Holdings Inc,LDOS,0.29%,Professional Services,US,---,"$154,541,185.50 ","1,208,675"
BF0LKD0,Knight-Swift Transportation Holdings Inc,KNX,0.29%,Ground Transportation,US,---,"$151,868,413.80 ","2,695,570"
2276467,Donaldson Co Inc,DCI,0.28%,Machinery,US,---,"$151,838,768.82 ","2,120,061"
B50K3X8,Primerica Inc,PRI,0.28%,Insurance,US,---,"$151,028,410.14 ","615,789"
BLCF3J9,Essential Utilities Inc,WTRG,0.28%,Water Utilities,US,---,"$150,402,805.90 ","4,324,405"
BMZQ9C1,HF Sinclair Corp,DINO,0.28%,"Oil, Gas & Consumable Fuels",US,---,"$149,918,542.50 ","2,701,235"
2159267,CACI International Inc,CACI,0.28%,Professional Services,US,---,"$146,805,129.45 ","391,637"
B3V9F12,PVH Corp,PVH,0.27%,"Textiles, Apparel & Luxury Goods",US,---,"$145,206,954.88 ","1,062,464"
B9CGTC3,Norwegian Cruise Line Holdings Ltd,NCLH,0.27%,"Hotels, Restaurants & Leisure",US,---,"$145,045,266.24 ","7,480,416"
BN7P9B2,Federal Realty Investment Trust,FRT,0.27%,Retail REITs,US,---,"$144,748,996.50 ","1,435,290"
2515030,Lithia Motors Inc,LAD,0.27%,Specialty Retail,US,---,"$144,717,227.42 ","483,907"
2404871,MKS Instruments Inc,MKSI,0.27%,Semiconductors & Semiconductor Equipment,US,---,"$144,381,473.28 ","1,176,128"
2945143,Webster Financial Corp,WBS,0.27%,Banks,US,---,"$144,175,552.20 ","3,026,355"
2433842,Unum Group,UNM,0.27%,Insurance,US,---,"$144,097,893.40 ","2,914,012"
2455761,EastGroup Properties Inc,EGP,0.27%,Industrial REITs,US,---,"$143,117,776.76 ","814,604"
B1HHB18,KBR Inc,KBR,0.27%,Professional Services,US,---,"$142,480,424.61 ","2,373,487"
2110703,Robert Half Inc,RHI,0.27%,Professional Services,US,---,"$142,219,399.20 ","1,768,898"
B570P91,Lear Corp,LEA,0.26%,Automobile Components,US,---,"$140,729,222.05 ","1,024,603"
BCZWJ63,Murphy USA Inc,MUSA,0.26%,Specialty Retail,US,---,"$140,389,335.57 ","336,657"
2793610,SEI Investments Co,SEIC,0.26%,Capital Markets,US,---,"$140,038,642.75 ","2,082,359"
B2Q8249,Graphic Packaging Holding Co,GPK,0.26%,Containers & Packaging,US,---,"$139,661,654.40 ","5,381,952"
BH3XG17,Aramark,ARMK,0.26%,"Hotels, Restaurants & Leisure",US,---,"$139,462,738.74 ","4,598,178"
2341484,First Horizon Corp,FHN,0.26%,Banks,US,---,"$138,558,063.30 ","9,826,813"
BF5L3T2,Elanco Animal Health Inc,ELAN,0.26%,Pharmaceuticals,US,---,"$137,679,556.49 ","8,664,541"
2818461,Acuity Brands Inc,AYI,0.26%,Electrical Equipment,US,---,"$136,700,186.48 ","544,102"
2048804,Pinnacle West Capital Corp,PNW,0.26%,Electric Utilities,US,---,"$136,156,954.54 ","1,992,638"
2828619,Southwestern Energy Co,SWN,0.25%,"Oil, Gas & Consumable Fuels",US,---,"$134,981,626.39 ","19,366,087"
B7K24P7,Ingredion Inc,INGR,0.25%,Food Products,US,---,"$134,812,449.36 ","1,146,072"
2416973,WESCO International Inc,WCC,0.25%,Trading Companies & Distributors,US,---,"$134,266,536.36 ","898,164"
2043274,Omega Healthcare Investors Inc,OHI,0.25%,Health Care REITs,US,---,"$134,053,943.52 ","4,307,646"
BQPCHB2,Permian Resources Corp,PR,0.25%,"Oil, Gas & Consumable Fuels",US,---,"$132,983,851.20 ","8,546,520"
BYX2YJ7,Encompass Health Corp,EHC,0.25%,Health Care Providers & Services,US,---,"$131,102,620.80 ","1,762,132"
BMBPH06,API Group Corp,APG,0.25%,Construction & Engineering,US,---,"$130,677,791.25 ","3,728,325"
2211811,NNN REIT Inc,NNN,0.25%,Retail REITs,US,---,"$130,544,302.85 ","3,208,265"
BDTZZG7,Science Applications International Corp,SAIC,0.24%,Professional Services,US,---,"$130,260,212.16 ","930,696"
2086309,Applied Industrial Technologies Inc,AIT,0.24%,Trading Companies & Distributors,US,---,"$129,399,021.38 ","681,442"
2849234,Stifel Financial Corp,SF,0.24%,Capital Markets,US,---,"$129,269,384.72 ","1,704,052"
2351449,FTI Consulting Inc,FCN,0.24%,Professional Services,US,---,"$129,148,977.60 ","624,270"
2111955,BorgWarner Inc,BWA,0.24%,Automobile Components,US,---,"$128,687,808.92 ","4,133,884"
B65VZ37,Acadia Healthcare Co Inc,ACHC,0.24%,Health Care Providers & Services,US,---,"$128,530,774.85 ","1,540,213"
2659109,Old Republic International Corp,ORI,0.24%,Insurance,US,---,"$128,470,932.96 ","4,436,151"
2663520,Oshkosh Corp,OSK,0.24%,Machinery,US,---,"$127,530,572.50 ","1,150,375"
2523334,Range Resources Corp,RRC,0.24%,"Oil, Gas & Consumable Fuels",US,---,"$127,443,081.96 ","4,030,458"
BSFWCF5,Axalta Coating Systems Ltd,AXTA,0.24%,Chemicals,US,---,"$126,669,027.60 ","3,870,120"
2969637,Dick's Sporting Goods Inc,DKS,0.24%,Specialty Retail,US,---,"$126,603,423.55 ","711,695"
BKWQ2N2,Voya Financial Inc,VOYA,0.24%,Financial Services,US,---,"$125,595,298.68 ","1,837,263"
B4Q5ZN4,Jazz Pharmaceuticals PLC,JAZZ,0.23%,Pharmaceuticals,US,---,"$125,031,435.20 ","1,051,568"
2105505,H&R Block Inc,HRB,0.23%,Diversified Consumer Services,US,---,"$123,882,219.45 ","2,530,791"
2360757,First Industrial Realty Trust Inc,FR,0.23%,Industrial REITs,US,---,"$123,278,265.00 ","2,326,005"
2010278,AGCO Corp,AGCO,0.23%,Machinery,US,---,"$122,788,197.30 ","1,119,309"
2572303,Mattel Inc,MAT,0.23%,Leisure Products,US,---,"$122,334,478.40 ","6,209,872"
BFD2WR8,Antero Resources Corp,AR,0.23%,"Oil, Gas & Consumable Fuels",US,---,"$122,232,078.40 ","4,756,112"
BYNPPC6,DENTSPLY SIRONA Inc,XRAY,0.23%,Health Care Equipment & Supplies,US,---,"$121,741,039.28 ","3,725,246"
2632003,New York Times Co/The,NYT,0.23%,Media,US,---,"$121,022,155.08 ","2,733,111"
BKM4S16,MSA Safety Inc,MSA,0.23%,Commercial Services & Supplies,US,---,"$120,919,519.40 ","656,636"
BKLJ8V2,Howmet Aerospace Inc,HWM,0.23%,Aerospace & Defense,US,---,"$120,509,405.50 ","1,810,810"
BFTDJL8,Brixmor Property Group Inc,BRX,0.22%,Retail REITs,US,---,"$119,528,443.30 ","5,286,530"
B28XP76,Invesco Ltd,IVZ,0.22%,Capital Markets,US,---,"$119,372,285.97 ","7,746,417"
B64BRQ5,STAG Industrial Inc,STAG,0.22%,Industrial REITs,US,---,"$118,585,717.32 ","3,192,938"
B4PZ892,Allison Transmission Holdings Inc,ALSN,0.22%,Machinery,US,---,"$118,539,288.00 ","1,573,600"
BMQ60Q1,UFP Industries Inc,UFPI,0.22%,Building Products,US,---,"$118,346,304.60 ","1,032,420"
B4V9661,Ralph Lauren Corp,RL,0.22%,"Textiles, Apparel & Luxury Goods",US,---,"$116,980,492.16 ","629,198"
BH4GV32,Vontier Corp,VNT,0.22%,"Electronic Equipment, Instruments & Components",US,---,"$116,695,120.00 ","2,713,840"
2414580,Hasbro Inc,HAS,0.22%,Leisure Products,US,---,"$116,573,577.83 ","2,318,027"
2658526,Olin Corp,OLN,0.22%,Chemicals,US,---,"$115,947,016.20 ","2,155,149"
2657802,OGE Energy Corp,OGE,0.22%,Electric Utilities,US,---,"$115,939,033.92 ","3,522,912"
2212870,Comerica Inc,CMA,0.22%,Banks,US,---,"$114,550,637.64 ","2,319,778"
2889876,Thor Industries Inc,THO,0.21%,Automobiles,US,---,"$114,075,841.88 ","889,966"
2598699,Mohawk Industries Inc,MHK,0.21%,Household Durables,US,---,"$112,932,526.86 ","952,053"
BYYHJL8,AGNC Investment Corp,AGNC,0.21%,Mortgage Real Estate Investment Trusts (REITs),US,---,"$112,837,865.44 ","11,803,124"
BNFX071,SouthState Corp,SSB,0.21%,Banks,US,---,"$112,457,789.84 ","1,338,146"
B8BR3H3,Berry Global Group Inc,BERY,0.21%,Containers & Packaging,US,---,"$112,338,314.80 ","1,929,880"
2898087,DaVita Inc,DVA,0.21%,Health Care Providers & Services,US,---,"$112,117,430.31 ","883,023"
BLDDYB1,Chord Energy Corp,CHRD,0.21%,"Oil, Gas & Consumable Fuels",US,---,"$112,016,747.70 ","689,546"
2051404,Arrow Electronics Inc,ARW,0.21%,"Electronic Equipment, Instruments & Components",US,---,"$111,914,755.00 ","952,466"
2719070,RLI Corp,RLI,0.21%,Insurance,US,---,"$111,593,874.85 ","761,993"
B1BHXZ2,Evercore Inc,EVR,0.21%,Capital Markets,US,---,"$111,585,549.72 ","596,459"
BCGCR79,Sprouts Farmers Market Inc,SFM,0.21%,Consumer Staples Distribution & Retail,US,---,"$111,525,395.24 ","1,786,121"
2766173,Selective Insurance Group Inc,SIGI,0.21%,Insurance,US,---,"$111,293,140.80 ","1,065,210"
BDHF495,Atkore Inc,ATKR,0.21%,Electrical Equipment,US,---,"$111,182,471.40 ","656,331"
2213260,Commercial Metals Co,CMC,0.21%,Metals & Mining,US,---,"$111,016,656.00 ","2,055,864"
2696838,Fluor Corp,FLR,0.21%,Construction & Engineering,US,---,"$110,270,795.20 ","2,996,489"
2983563,CarMax Inc,KMX,0.21%,Specialty Retail,US,---,"$110,091,161.00 ","1,393,559"
2239556,Cullen/Frost Bankers Inc,CFR,0.21%,Banks,US,---,"$110,017,529.43 ","1,013,893"
BG0Q4Z2,Jefferies Financial Group Inc,JEF,0.20%,Capital Markets,US,---,"$108,362,143.92 ","2,591,156"
BP0VMC3,U-Haul Holding Co,UHAL/B,0.20%,Ground Transportation,US,---,"$108,353,157.90 ","1,704,470"
2002554,TD SYNNEX Corp,SNX,0.20%,"Electronic Equipment, Instruments & Components",US,---,"$108,058,181.90 ","1,040,021"
2475060,Insight Enterprises Inc,NSIT,0.20%,"Electronic Equipment, Instruments & Components",US,---,"$107,711,404.00 ","572,933"
2213204,Commerce Bancshares Inc/MO,CBSH,0.20%,Banks,US,---,"$107,510,216.60 ","2,065,915"
2004185,Abercrombie & Fitch Co,ANF,0.20%,Specialty Retail,US,---,"$107,507,740.32 ","841,482"
B3PQ520,Starwood Property Trust Inc,STWD,0.20%,Mortgage Real Estate Investment Trusts (REITs),US,---,"$106,709,209.51 ","5,233,409"
B86QM90,Popular Inc,BPOP,0.20%,Banks,US,---,"$106,193,267.20 ","1,269,040"
2149309,Brunswick Corp/DE,BC,0.20%,Leisure Products,US,---,"$105,759,418.80 ","1,210,062"
2466321,Interpublic Group of Cos Inc/The,IPG,0.20%,Media,US,---,"$105,757,837.60 ","3,368,084"
B0CCGJ4,Western Alliance Bancorp,WAL,0.20%,Banks,US,---,"$105,596,714.04 ","1,829,148"
2425258,Wintrust Financial Corp,WTFC,0.19%,Banks,US,---,"$103,787,352.85 ","1,077,191"
2960384,Whirlpool Corp,WHR,0.19%,Household Durables,US,---,"$103,616,959.74 ","964,866"
BNYD4F8,Crane Co,CR,0.19%,Machinery,US,---,"$103,245,891.96 ","849,341"
2989828,Zions Bancorp NA,ZION,0.19%,Banks,US,---,"$102,753,673.11 ","2,605,977"
2611206,Murphy Oil Corp,MUR,0.19%,"Oil, Gas & Consumable Fuels",US,---,"$102,370,021.80 ","2,580,540"
BP0V999,Frontier Communications Parent Inc,FYBR,0.19%,Diversified Telecommunication Services,US,---,"$102,363,098.88 ","4,322,766"
B832462,Taylor Morrison Home Corp,TMHC,0.19%,Household Durables,US,---,"$101,514,637.08 ","1,793,228"
2601326,Meritage Homes Corp,MTH,0.19%,Household Durables,US,---,"$100,952,693.54 ","640,319"
B4NFPK4,First American Financial Corp,FAF,0.19%,Insurance,US,---,"$100,692,940.59 ","1,723,899"
2928683,VF Corp,VFC,0.19%,"Textiles, Apparel & Luxury Goods",US,---,"$100,589,497.52 ","6,156,028"
2726177,Regency Centers Corp,REG,0.19%,Retail REITs,US,---,"$100,572,913.35 ","1,623,453"
BK6YKG1,Globe Life Inc,GL,0.19%,Insurance,US,---,"$99,875,885.94 ","786,858"
BJLTMN5,Esab Corp,ESAB,0.19%,Machinery,US,---,"$99,819,291.60 ","1,007,055"
BYSZB89,OneMain Holdings Inc,OMF,0.19%,Consumer Finance,US,---,"$99,613,501.45 ","2,109,115"
B067BM3,Molson Coors Beverage Co,TAP,0.19%,Beverages,US,---,"$99,284,253.28 ","1,590,584"
BN7L880,DT Midstream Inc,DTM,0.18%,"Oil, Gas & Consumable Fuels",US,---,"$98,305,772.67 ","1,705,809"
2943620,Watts Water Technologies Inc,WTS,0.18%,Machinery,US,---,"$98,168,477.20 ","481,336"
BDG22J3,Valvoline Inc,VVV,0.18%,Specialty Retail,US,---,"$97,996,271.36 ","2,298,224"
BN7K304,Academy Sports & Outdoors Inc,ASO,0.18%,Specialty Retail,US,---,"$97,823,349.28 ","1,309,199"
2310257,Prosperity Bancshares Inc,PB,0.18%,Banks,US,---,"$97,752,221.31 ","1,566,291"
2288406,Flowserve Corp,FLS,0.18%,Machinery,US,---,"$97,663,048.96 ","2,307,728"
2821395,Sonoco Products Co,SON,0.18%,Containers & Packaging,US,---,"$97,660,320.16 ","1,723,012"
2609717,Mueller Industries Inc,MLI,0.18%,Machinery,US,---,"$97,462,824.76 ","1,896,902"
2062161,Agree Realty Corp,ADC,0.18%,Retail REITs,US,---,"$97,140,884.75 ","1,767,805"
2548616,MGIC Investment Corp,MTG,0.18%,Financial Services,US,---,"$97,041,301.11 ","4,878,899"
2036047,Comfort Systems USA Inc,FIX,0.18%,Construction & Engineering,US,---,"$96,012,672.12 ","314,044"
BFWGXR8,Essent Group Ltd,ESNT,0.18%,Financial Services,US,---,"$95,585,165.28 ","1,784,304"
B02TS99,Beacon Roofing Supply Inc,BECN,0.18%,Trading Companies & Distributors,US,---,"$95,426,280.81 ","1,111,029"
BJ1C2K1,Element Solutions Inc,ESI,0.18%,Chemicals,US,---,"$94,834,696.50 ","4,035,519"
B9BP4R1,Boise Cascade Co,BCC,0.18%,Trading Companies & Distributors,US,---,"$94,504,882.59 ","695,349"
BJ1N1M9,Capri Holdings Ltd,CPRI,0.18%,"Textiles, Apparel & Luxury Goods",US,---,"$94,294,932.69 ","2,044,113"
2949758,Nexstar Media Group Inc,NXST,0.18%,Media,US,---,"$94,212,075.54 ","566,962"
2892807,Timken Co/The,TKR,0.18%,Machinery,US,---,"$93,804,147.51 ","1,116,849"
2127899,Affiliated Managers Group Inc,AMG,0.17%,Capital Markets,US,---,"$92,970,218.11 ","594,781"
BMH4NJ8,Synovus Financial Corp,SNV,0.17%,Banks,US,---,"$92,758,936.90 ","2,444,885"
BRJ9GW0,Rithm Capital Corp,RITM,0.17%,Mortgage Real Estate Investment Trusts (REITs),US,---,"$92,105,854.00 ","8,496,850"
2881407,Teleflex Inc,TFX,0.17%,Health Care Equipment & Supplies,US,---,"$92,081,334.90 ","413,310"
2298386,Eastman Chemical Co,EMN,0.17%,Chemicals,US,---,"$91,505,976.28 ","1,042,922"
BFMBMT8,Sensata Technologies Holding PLC,ST,0.17%,Electrical Equipment,US,---,"$91,489,048.40 ","2,658,020"
BJT1RW7,Lyft Inc,LYFT,0.17%,Ground Transportation,US,---,"$91,271,760.96 ","5,747,592"
2493534,Kirby Corp,KEX,0.17%,Marine Transportation,US,---,"$91,058,096.88 ","1,038,054"
B7F4TJ7,PBF Energy Inc,PBF,0.17%,"Oil, Gas & Consumable Fuels",US,---,"$90,342,177.40 ","1,934,522"
2910118,UGI Corp,UGI,0.17%,Gas Utilities,US,---,"$90,108,040.32 ","3,680,884"
2473138,Rayonier Inc,RYN,0.17%,Specialized REITs,US,---,"$89,794,610.62 ","2,608,034"
2732635,AutoNation Inc,AN,0.17%,Specialty Retail,US,---,"$89,494,564.60 ","597,427"
BQ1L7V3,SPX Technologies Inc,SPXC,0.17%,Machinery,US,---,"$89,406,946.37 ","762,923"
BW9JPS4,Summit Materials Inc,SUM,0.17%,Construction Materials,US,---,"$89,366,446.71 ","2,092,401"
BMCS168,Cadence Bank,CADE,0.17%,Banks,US,---,"$88,933,930.08 ","3,212,931"
2166320,Camden Property Trust,CPT,0.17%,Residential REITs,US,---,"$88,745,252.96 ","939,302"
BP6JW21,Kyndryl Holdings Inc,KD,0.17%,IT Services,US,---,"$88,685,486.11 ","4,036,663"
BBBSMJ2,Coty Inc,COTY,0.17%,Personal Care Products,US,---,"$88,553,928.32 ","7,050,472"
2860826,Stericycle Inc,SRCL,0.17%,Commercial Services & Supplies,US,---,"$88,510,859.43 ","1,627,337"
2232793,Sealed Air Corp,SEE,0.17%,Containers & Packaging,US,---,"$88,456,228.41 ","2,536,743"
2416962,Henry Schein Inc,HSIC,0.16%,Health Care Providers & Services,US,---,"$87,824,877.36 ","1,148,488"
B00V7H8,Assured Guaranty Ltd,AGO,0.16%,Insurance,US,---,"$87,562,913.20 ","955,927"
