SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
2692933,Polaris Inc,PII,0.16%,Leisure Products,US,---,"$87,482,732.07 ","943,617"
BZ56Q65,Bank OZK,OZK,0.16%,Banks,US,---,"$87,191,389.80 ","1,990,671"
2197308,Cirrus Logic Inc,CRUS,0.16%,Semiconductors & Semiconductor Equipment,US,---,"$87,066,294.96 ","948,228"
BP96PQ4,Catalent Inc,CTLT,0.16%,Pharmaceuticals,US,---,"$86,379,212.26 ","1,506,439"
B1F76F9,Western Union Co/The,WU,0.16%,Financial Services,US,---,"$85,968,653.67 ","6,410,787"
BYNF418,Alcoa Corp,AA,0.16%,Metals & Mining,US,---,"$85,296,901.23 ","3,134,763"
BSPHGN6,Lamar Advertising Co,LAMR,0.16%,Specialized REITs,US,---,"$85,166,393.40 ","770,388"
2672537,Patterson-UTI Energy Inc,PTEN,0.16%,Energy Equipment & Services,US,---,"$84,779,313.84 ","7,327,512"
2658441,Old National Bancorp/IN,ONB,0.16%,Banks,US,---,"$84,593,157.43 ","5,148,701"
2760669,Ryder System Inc,R,0.16%,Ground Transportation,US,---,"$84,508,050.90 ","740,649"
2535243,Louisiana-Pacific Corp,LPX,0.16%,Paper & Forest Products,US,---,"$84,462,200.68 ","1,141,844"
2677606,Axis Capital Holdings Ltd,AXS,0.16%,Insurance,US,---,"$84,353,432.65 ","1,348,145"
2012605,Alaska Air Group Inc,ALK,0.16%,Passenger Airlines,US,---,"$84,124,209.68 ","2,249,912"
2041308,FNB Corp/PA,FNB,0.16%,Banks,US,---,"$84,097,947.96 ","6,304,194"
2345022,Macy's Inc,M,0.16%,Broadline Retail,US,---,"$83,840,271.20 ","4,807,355"
2485070,KB Home,KBH,0.16%,Household Durables,US,---,"$83,320,691.09 ","1,254,263"
2162500,Cabot Corp,CBT,0.16%,Chemicals,US,---,"$82,654,566.05 ","972,979"
2905794,United Bankshares Inc/WV,UBSI,0.15%,Banks,US,---,"$82,363,981.34 ","2,374,286"
2516378,Lincoln National Corp,LNC,0.15%,Insurance,US,---,"$82,063,361.52 ","2,979,788"
2567655,MSC Industrial Direct Co Inc,MSM,0.15%,Trading Companies & Distributors,US,---,"$81,312,217.00 ","805,550"
2831888,Southwest Gas Holdings Inc,SWX,0.15%,Gas Utilities,US,---,"$81,230,438.40 ","1,191,936"
2427986,Crown Holdings Inc,CCK,0.15%,Containers & Packaging,US,---,"$81,190,842.72 ","1,059,656"
2101967,SLM Corp,SLM,0.15%,Consumer Finance,US,---,"$80,929,653.35 ","3,885,245"
BJBLRK3,Healthpeak Properties Inc,DOC,0.15%,Health Care REITs,US,---,"$80,626,158.50 ","4,813,502"
2411053,Harley-Davidson Inc,HOG,0.15%,Automobiles,US,---,"$79,909,120.98 ","2,203,174"
2919290,Light & Wonder Inc,LNW,0.15%,"Hotels, Restaurants & Leisure",US,---,"$79,487,227.89 ","790,839"
2933632,Vornado Realty Trust,VNO,0.15%,Office REITs,US,---,"$79,218,151.10 ","3,012,097"
BNG8Z81,Coherent Corp,COHR,0.15%,"Electronic Equipment, Instruments & Components",US,---,"$79,190,839.28 ","1,331,386"
BJBT0Q4,Antero Midstream Corp,AM,0.15%,"Oil, Gas & Consumable Fuels",US,---,"$79,095,416.20 ","5,902,643"
2362128,GATX Corp,GATX,0.15%,Trading Companies & Distributors,US,---,"$79,073,704.92 ","623,413"
2626103,National Fuel Gas Co,NFG,0.15%,Gas Utilities,US,---,"$78,633,996.64 ","1,613,336"
BGHKHS1,Mr Cooper Group Inc,COOP,0.15%,Financial Services,US,---,"$78,486,550.56 ","1,101,102"
BPLYVJ1,Liberty Media Corp-Liberty SiriusXM,LSXMA,0.15%,Media,US,---,"$78,478,187.02 ","2,693,143"
2296937,IDACORP Inc,IDA,0.15%,Electric Utilities,US,---,"$78,470,766.00 ","890,600"
BN6QGL5,Apartment Income REIT Corp,AIRC,0.15%,Residential REITs,US,---,"$78,412,310.56 ","2,586,158"
2173911,Radian Group Inc,RDN,0.15%,Financial Services,US,---,"$78,402,015.06 ","2,690,529"
BFY8W20,ASGN Inc,ASGN,0.15%,Professional Services,US,---,"$78,208,441.48 ","787,439"
BLDC8J4,Organon & Co,OGN,0.15%,Pharmaceuticals,US,---,"$78,156,571.57 ","4,489,177"
2926825,Valmont Industries Inc,VMI,0.15%,Construction & Engineering,US,---,"$77,753,726.12 ","366,884"
2547323,MDU Resources Group Inc,MDU,0.15%,Construction & Engineering,US,---,"$77,542,747.60 ","3,576,695"
BFMWBV6,Equitrans Midstream Corp,ETRN,0.15%,"Oil, Gas & Consumable Fuels",US,---,"$77,269,693.18 ","7,228,222"
BMV1ZD3,Zurn Elkay Water Solutions Corp,ZWS,0.14%,Building Products,US,---,"$77,225,429.75 ","2,432,297"
2191300,American Equity Investment Life Holding Co,AEL,0.14%,Insurance,US,---,"$77,182,049.64 ","1,389,666"
BMF5Q83,FirstCash Holdings Inc,FCFS,0.14%,Consumer Finance,US,---,"$77,176,664.00 ","674,032"
BMFX6P4,Jackson Financial Inc,JXN,0.14%,Financial Services,US,---,"$76,868,572.05 ","1,396,341"
BYXJF62,Zillow Group Inc,Z,0.14%,Real Estate Management & Development,US,---,"$76,439,409.45 ","1,361,343"
B3CTNK6,Signet Jewelers Ltd,SIG,0.14%,Specialty Retail,US,---,"$76,217,120.64 ","748,989"
B0650B9,Huntsman Corp,HUN,0.14%,Chemicals,US,---,"$75,974,809.60 ","2,967,766"
BYND5N1,Ashland Inc,ASH,0.14%,Chemicals,US,---,"$75,872,933.68 ","810,262"
2601218,Moog Inc,MOG/A,0.14%,Aerospace & Defense,US,---,"$75,805,723.00 ","505,540"
2339252,White Mountains Insurance Group Ltd,WTM,0.14%,Insurance,US,---,"$75,491,979.84 ","42,761"
2855855,Asbury Automotive Group Inc,ABG,0.14%,Specialty Retail,US,---,"$75,476,591.58 ","361,426"
2354664,HB Fuller Co,FUL,0.14%,Chemicals,US,---,"$75,451,383.48 ","948,716"
B17MTL9,Home BancShares Inc/AR,HOMB,0.14%,Banks,US,---,"$74,841,599.34 ","3,190,179"
2948089,Woodward Inc,WWD,0.14%,Aerospace & Defense,US,---,"$74,595,508.86 ","527,214"
B3XS562,Air Lease Corp,AL,0.14%,Trading Companies & Distributors,US,---,"$74,408,878.30 ","1,855,583"
2020415,Hanover Insurance Group Inc/The,THG,0.14%,Insurance,US,---,"$74,367,714.61 ","565,663"
BYXD7B3,DXC Technology Co,DXC,0.14%,IT Services,US,---,"$74,335,607.66 ","3,400,531"
2048592,American Eagle Outfitters Inc,AEO,0.14%,Specialty Retail,US,---,"$74,247,155.00 ","3,126,196"
2066505,Avnet Inc,AVT,0.14%,"Electronic Equipment, Instruments & Components",US,---,"$74,176,078.77 ","1,592,103"
BPLL4V5,Knife River Corp,KNF,0.14%,Construction Materials,US,---,"$73,697,026.64 ","994,696"
2266026,First Financial Bankshares Inc,FFIN,0.14%,Banks,US,---,"$73,676,215.34 ","2,381,261"
2370585,Glacier Bancorp Inc,GBCI,0.14%,Banks,US,---,"$73,030,368.80 ","1,951,640"
BYPZJQ6,Janus Henderson Group PLC,JHG,0.14%,Capital Markets,US,---,"$72,616,011.84 ","2,330,424"
BRT46K3,Lazard Inc,LAZ,0.14%,Capital Markets,US,---,"$72,521,681.50 ","1,881,725"
2116228,CH Robinson Worldwide Inc,CHRW,0.14%,Air Freight & Logistics,US,---,"$72,218,369.60 ","974,870"
BNKVVY4,Concentrix Corp,CNXC,0.14%,Professional Services,US,---,"$72,027,109.35 ","994,163"
BNDYF48,IAC Inc,IAC,0.14%,Interactive Media & Services,US,---,"$71,949,014.40 ","1,266,708"
2590930,Middleby Corp/The,MIDD,0.13%,Machinery,US,---,"$71,624,755.20 ","470,720"
2630513,New Jersey Resources Corp,NJR,0.13%,Gas Utilities,US,---,"$71,395,561.47 ","1,715,827"
B125XQ6,Portland General Electric Co,POR,0.13%,Electric Utilities,US,---,"$71,364,013.50 ","1,776,550"
BGPZ5W8,Arcosa Inc,ACA,0.13%,Construction & Engineering,US,---,"$71,089,417.00 ","856,499"
2822019,Advance Auto Parts Inc,AAP,0.13%,Specialty Retail,US,---,"$70,679,799.52 ","1,046,488"
BF0DMK7,Iovance Biotherapeutics Inc,IOVA,0.13%,Biotechnology,US,---,"$70,270,237.94 ","4,416,734"
B1Q76J2,Enstar Group Ltd,ESGR,0.13%,Insurance,US,---,"$69,468,492.54 ","225,591"
2839268,Synaptics Inc,SYNA,0.13%,Semiconductors & Semiconductor Equipment,US,---,"$68,922,053.20 ","688,532"
BK1KWG8,Bridgebio Pharma Inc,BBIO,0.13%,Biotechnology,US,---,"$68,019,765.10 ","1,991,794"
BD6JX35,Krystal Biotech Inc,KRYS,0.13%,Biotechnology,US,---,"$67,227,448.96 ","421,568"
2242929,Amkor Technology Inc,AMKR,0.13%,Semiconductors & Semiconductor Equipment,US,---,"$67,049,481.84 ","2,161,492"
2744243,Flowers Foods Inc,FLO,0.12%,Food Products,US,---,"$66,563,365.76 ","2,968,928"
2176608,Columbia Banking System Inc,COLB,0.12%,Banks,US,---,"$66,304,101.00 ","3,663,210"
2664103,Otter Tail Corp,OTTR,0.12%,Electric Utilities,US,---,"$66,272,624.28 ","732,618"
2561204,MDC Holdings Inc,MDC,0.12%,Household Durables,US,---,"$65,861,710.20 ","1,050,426"
BD59BS7,Madrigal Pharmaceuticals Inc,MDGL,0.12%,Biotechnology,US,---,"$65,597,227.80 ","277,719"
B020GQ5,EnerSys,ENS,0.12%,Electrical Equipment,US,---,"$65,283,312.64 ","710,528"
B0LLFT5,GameStop Corp,GME,0.12%,Specialty Retail,US,---,"$65,113,924.38 ","4,562,994"
BMHWY55,Avient Corp,AVNT,0.12%,Chemicals,US,---,"$64,884,987.20 ","1,602,890"
B8GNC91,Matson Inc,MATX,0.12%,Marine Transportation,US,---,"$64,825,992.75 ","583,755"
B247H10,Teradata Corp,TDC,0.12%,Software,US,---,"$64,614,531.96 ","1,717,558"
BD06LM7,Integer Holdings Corp,ITGR,0.12%,Health Care Equipment & Supplies,US,---,"$64,550,641.49 ","585,281"
2884224,Terex Corp,TEX,0.12%,Machinery,US,---,"$64,401,469.25 ","1,122,955"
2145460,Azenta Inc,AZTA,0.12%,Life Sciences Tools & Services,US,---,"$64,231,059.25 ","985,895"
BYY9FS3,GMS Inc,GMS,0.12%,Trading Companies & Distributors,US,---,"$63,765,017.94 ","713,974"
2273446,Encore Wire Corp,WIRE,0.12%,Electrical Equipment,US,---,"$63,526,395.00 ","263,595"
B0XXJN1,PotlatchDeltic Corp,PCH,0.12%,Specialized REITs,US,---,"$63,014,647.41 ","1,393,821"
BMBK002,California Resources Corp,CRC,0.12%,"Oil, Gas & Consumable Fuels",US,---,"$62,952,912.96 ","1,206,688"
2415497,Hancock Whitney Corp,HWC,0.12%,Banks,US,---,"$62,690,260.00 ","1,437,850"
BGH1M56,Perrigo Co PLC,PRGO,0.12%,Pharmaceuticals,US,---,"$62,578,525.36 ","2,383,036"
2121352,Group 1 Automotive Inc,GPI,0.12%,Specialty Retail,US,---,"$62,519,879.35 ","230,999"
B01WL78,Belden Inc,BDC,0.12%,"Electronic Equipment, Instruments & Components",US,---,"$62,454,316.72 ","733,204"
2691305,Brink's Co/The,BCO,0.12%,Commercial Services & Supplies,US,---,"$62,261,654.40 ","751,680"
2543967,Macerich Co/The,MAC,0.12%,Retail REITs,US,---,"$62,198,100.96 ","3,790,256"
BK63SF3,Envista Holdings Corp,NVST,0.12%,Health Care Equipment & Supplies,US,---,"$62,158,833.45 ","3,010,113"
2101741,Black Hills Corp,BKH,0.12%,Multi-Utilities,US,---,"$62,139,637.12 ","1,194,304"
2935326,Valley National Bancorp,VLY,0.12%,Banks,US,---,"$62,071,911.72 ","7,578,988"
2562490,ManpowerGroup Inc,MAN,0.12%,Professional Services,US,---,"$61,959,101.60 ","858,635"
2328603,FMC Corp,FMC,0.12%,Chemicals,US,---,"$61,885,318.28 ","1,097,452"
2360326,Gap Inc/The,GPS,0.12%,Specialty Retail,US,---,"$61,768,510.62 ","3,261,273"
2809324,Silgan Holdings Inc,SLGN,0.12%,Containers & Packaging,US,---,"$61,697,941.00 ","1,405,100"
B52KRV2,Kemper Corp,KMPR,0.12%,Insurance,US,---,"$61,377,096.69 ","1,070,593"
BJP0MF6,Cousins Properties Inc,CUZ,0.11%,Office REITs,US,---,"$60,817,002.83 ","2,666,243"
B0650P3,Prestige Consumer Healthcare Inc,PBH,0.11%,Pharmaceuticals,US,---,"$60,716,969.18 ","872,621"
B92CQF3,Tri Pointe Homes Inc,TPH,0.11%,Household Durables,US,---,"$60,406,184.52 ","1,707,354"
B92RRW2,Sanmina Corp,SANM,0.11%,"Electronic Equipment, Instruments & Components",US,---,"$60,029,635.20 ","949,836"
BJN4N02,Parsons Corp,PSN,0.11%,Professional Services,US,---,"$59,501,304.18 ","738,138"
2378200,Goodyear Tire & Rubber Co/The,GT,0.11%,Automobile Components,US,---,"$59,156,994.60 ","4,979,545"
2386849,Korn Ferry,KFY,0.11%,Professional Services,US,---,"$59,024,597.10 ","927,185"
BP4CXL8,CCC Intelligent Solutions Holdings Inc,CCCS,0.11%,Software,US,---,"$58,752,407.35 ","5,017,285"
BRXYZ57,Fortrea Holdings Inc,FTRE,0.11%,Life Sciences Tools & Services,US,---,"$58,640,670.90 ","1,562,085"
2098508,Bio-Rad Laboratories Inc,BIO,0.11%,Life Sciences Tools & Services,US,---,"$58,607,236.84 ","179,843"
B2QGDP1,Hillenbrand Inc,HI,0.11%,Machinery,US,---,"$58,502,429.25 ","1,230,335"
BJTJGC4,Kontoor Brands Inc,KTB,0.11%,"Textiles, Apparel & Luxury Goods",US,---,"$58,427,102.17 ","988,447"
BYVMVV0,Park Hotels & Resorts Inc,PK,0.11%,Hotel & Resort REITs,US,---,"$58,259,658.80 ","3,509,618"
BXRTX56,Apple Hospitality REIT Inc,APLE,0.11%,Hotel & Resort REITs,US,---,"$58,193,877.57 ","3,616,773"
BJ0KXV4,ONE Gas Inc,OGS,0.11%,Gas Utilities,US,---,"$58,036,155.60 ","973,761"
2711656,New York Community Bancorp Inc,NYCB,0.11%,Banks,US,---,"$57,789,663.92 ","12,064,648"
B1HMMS7,Spirit AeroSystems Holdings Inc,SPR,0.11%,Aerospace & Defense,US,---,"$57,684,198.00 ","2,016,930"
BNKBB55,TPG Inc,TPG,0.11%,Capital Markets,US,---,"$57,608,299.45 ","1,298,947"
2951292,Enpro Inc,NPO,0.11%,Machinery,US,---,"$57,299,844.42 ","367,731"
B02R1L6,ALLETE Inc,ALE,0.11%,Electric Utilities,US,---,"$57,194,448.96 ","1,009,789"
2980906,Foot Locker Inc,FL,0.11%,Specialty Retail,US,---,"$57,033,019.56 ","1,656,492"
BLTFST7,ArcBest Corp,ARCB,0.11%,Ground Transportation,US,---,"$56,496,701.34 ","395,469"
B5NLBP6,Sabra Health Care REIT Inc,SBRA,0.11%,Health Care REITs,US,---,"$56,466,435.56 ","4,068,187"
B3NXMJ9,Wendy's Co/The,WEN,0.10%,"Hotels, Restaurants & Leisure",US,---,"$55,766,956.06 ","3,079,346"
2918510,UMB Financial Corp,UMBF,0.10%,Banks,US,---,"$55,761,991.14 ","683,274"
2227089,Piper Sandler Cos,PIPR,0.10%,Capital Markets,US,---,"$55,719,447.85 ","295,955"
2463344,Griffon Corp,GFF,0.10%,Building Products,US,---,"$55,702,281.60 ","780,144"
BF3FTF4,CNX Resources Corp,CNX,0.10%,"Oil, Gas & Consumable Fuels",US,---,"$55,639,261.40 ","2,655,812"
BNG7BZ7,Alight Inc,ALIT,0.10%,Professional Services,US,---,"$55,603,737.36 ","6,171,336"
2707826,PNM Resources Inc,PNM,0.10%,Electric Utilities,US,---,"$55,044,338.01 ","1,507,651"
BPGKM57,SL Green Realty Corp,SLG,0.10%,Office REITs,US,---,"$54,932,057.76 ","1,133,087"
BFD1TJ6,Resideo Technologies Inc,REZI,0.10%,Building Products,US,---,"$54,516,037.73 ","2,441,381"
2943523,Penske Automotive Group Inc,PAG,0.10%,Specialty Retail,US,---,"$54,464,409.50 ","354,817"
2245597,Innospec Inc,IOSP,0.10%,Chemicals,US,---,"$54,364,272.63 ","437,469"
B8XXZP1,EPR Properties,EPR,0.10%,Specialized REITs,US,---,"$54,345,224.96 ","1,322,912"
2496113,Kohl's Corp,KSS,0.10%,Broadline Retail,US,---,"$54,287,248.38 ","1,947,874"
B23DBK6,Genpact Ltd,G,0.10%,Professional Services,US,---,"$54,255,772.00 ","1,595,758"
BMXYT16,Travel + Leisure Co,TNL,0.10%,"Hotels, Restaurants & Leisure",US,---,"$54,013,317.18 ","1,208,622"
2551551,McGrath RentCorp,MGRC,0.10%,Trading Companies & Distributors,US,---,"$53,635,942.40 ","430,880"
2024332,Amedisys Inc,AMED,0.10%,Health Care Providers & Services,US,---,"$53,425,850.96 ","574,348"
2038849,Ameris Bancorp,ABCB,0.10%,Banks,US,---,"$53,396,761.23 ","1,152,531"
B4TZV44,Walker & Dunlop Inc,WD,0.10%,Financial Services,US,---,"$53,333,920.74 ","559,173"
2675097,Pinnacle Financial Partners Inc,PNFP,0.10%,Banks,US,---,"$53,091,764.00 ","641,825"
BLF9ZT2,Dun & Bradstreet Holdings Inc,DNB,0.10%,Professional Services,US,---,"$52,909,081.98 ","5,019,837"
2966876,Rush Enterprises Inc,RUSHA,0.10%,Trading Companies & Distributors,US,---,"$52,852,941.20 ","1,085,276"
B75DGJ3,Ziff Davis Inc,ZD,0.10%,Interactive Media & Services,US,---,"$52,852,098.96 ","768,646"
BF429K9,Brighthouse Financial Inc,BHF,0.10%,Insurance,US,---,"$52,573,663.10 ","1,129,402"
2055718,Associated Banc-Corp,ASB,0.10%,Banks,US,---,"$52,494,271.96 ","2,518,919"
B45K9N8,Marriott Vacations Worldwide Corp,VAC,0.10%,"Hotels, Restaurants & Leisure",US,---,"$52,415,461.02 ","562,458"
2419530,Helen of Troy Ltd,HELE,0.10%,Household Durables,US,---,"$52,228,125.00 ","417,825"
BYXJQG9,Spire Inc,SR,0.10%,Gas Utilities,US,---,"$52,217,379.12 ","880,266"
BF2X272,Warrior Met Coal Inc,HCC,0.10%,Metals & Mining,US,---,"$52,151,477.40 ","915,420"
2635701,Newell Brands Inc,NWL,0.10%,Household Durables,US,---,"$51,929,767.50 ","6,923,969"
B8FW545,Artisan Partners Asset Management Inc,APAM,0.10%,Capital Markets,US,---,"$51,910,978.90 ","1,205,270"
2862156,United Community Banks Inc/GA,UCBI,0.10%,Banks,US,---,"$51,794,675.37 ","1,991,337"
BJLTMX5,Enovis Corp,ENOV,0.10%,Health Care Equipment & Supplies,US,---,"$51,714,656.69 ","864,649"
B03PGL4,Northwestern Energy Group Inc,NWE,0.10%,Multi-Utilities,US,---,"$51,672,615.20 ","1,078,310"
2012757,Albany International Corp,AIN,0.10%,Machinery,US,---,"$51,381,997.38 ","547,374"
BZ0CTP8,Chemours Co/The,CC,0.10%,Chemicals,US,---,"$51,279,434.29 ","2,606,987"
2243911,International Bancshares Corp,IBOC,0.10%,Banks,US,---,"$50,896,565.95 ","980,855"
2246288,Federated Hermes Inc,FHI,0.10%,Capital Markets,US,---,"$50,800,532.64 ","1,441,968"
BMVBZD3,Nuvalent Inc,NUVL,0.10%,Biotechnology,US,---,"$50,793,170.16 ","603,818"
2874582,Tanger Inc,SKT,0.10%,Retail REITs,US,---,"$50,746,913.54 ","1,761,434"
BPLYVL3,Liberty Media Corp-Liberty SiriusXM,LSXMK,0.10%,Media,US,---,"$50,719,723.74 ","1,750,163"
BYY9947,Red Rock Resorts Inc,RRR,0.10%,"Hotels, Restaurants & Leisure",US,---,"$50,663,021.49 ","873,651"
BLB8B95,Arch Resources Inc,ARCH,0.10%,Metals & Mining,US,---,"$50,622,376.56 ","306,264"
2657750,CNO Financial Group Inc,CNO,0.09%,Insurance,US,---,"$50,044,283.80 ","1,875,020"
2923741,Sensient Technologies Corp,SXT,0.09%,Chemicals,US,---,"$49,730,296.00 ","743,575"
2980939,Carter's Inc,CRI,0.09%,"Textiles, Apparel & Luxury Goods",US,---,"$49,708,237.95 ","614,061"
BQ7W2W6,Crane NXT Co,CXT,0.09%,"Electronic Equipment, Instruments & Components",US,---,"$49,644,439.70 ","849,785"
2977209,Texas Capital Bancshares Inc,TCBI,0.09%,Banks,US,---,"$49,581,067.80 ","845,372"
B9HHD96,Hannon Armstrong Sustainable Infrastructure Capital Inc,HASI,0.09%,Mortgage Real Estate Investment Trusts (REITs),US,---,"$49,301,888.52 ","1,958,756"
B4MF0Q6,Select Medical Holdings Corp,SEM,0.09%,Health Care Providers & Services,US,---,"$49,147,345.31 ","1,804,897"
2781518,Scotts Miracle-Gro Co/The,SMG,0.09%,Chemicals,US,---,"$49,050,634.50 ","746,585"
BN93088,Broadstone Net Lease Inc,BNL,0.09%,Diversified REITs,US,---,"$48,992,247.15 ","3,285,865"
B94QHZ0,Blackstone Mortgage Trust Inc,BXMT,0.09%,Mortgage Real Estate Investment Trusts (REITs),US,---,"$48,891,727.71 ","2,400,183"
2682105,Penn Entertainment Inc,PENN,0.09%,"Hotels, Restaurants & Leisure",US,---,"$48,881,130.00 ","2,671,100"
2296926,First BanCorp/Puerto Rico,FBP,0.09%,Banks,US,---,"$48,856,570.98 ","2,877,301"
B011WL6,Genworth Financial Inc,GNW,0.09%,Insurance,US,---,"$48,804,345.90 ","7,935,666"
2149622,Materion Corp,MTRN,0.09%,Metals & Mining,US,---,"$48,798,590.32 ","363,301"
BZ0P3Z5,TEGNA Inc,TGNA,0.09%,Media,US,---,"$48,435,554.13 ","3,457,213"
BDVPZV0,Peabody Energy Corp,BTU,0.09%,"Oil, Gas & Consumable Fuels",US,---,"$48,432,062.67 ","1,955,271"
2930149,Vishay Intertechnology Inc,VSH,0.09%,"Electronic Equipment, Instruments & Components",US,---,"$48,177,120.00 ","2,215,040"
BDRYFB1,Spectrum Brands Holdings Inc,SPB,0.09%,Household Products,US,---,"$47,970,771.26 ","596,503"
2756152,COPT Defense Properties,CDP,0.09%,Office REITs,US,---,"$47,857,351.44 ","1,975,128"
BGK38H3,Axos Financial Inc,AX,0.09%,Banks,US,---,"$47,672,391.92 ","914,666"
BYRGSX7,Archrock Inc,AROC,0.09%,Energy Equipment & Services,US,---,"$47,660,949.00 ","2,608,700"
2024901,ABM Industries Inc,ABM,0.09%,Commercial Services & Supplies,US,---,"$47,655,339.93 ","1,153,603"
BKTNTR9,Paramount Global,PARA,0.09%,Media,US,---,"$47,430,169.44 ","4,296,211"
2933438,Urban Outfitters Inc,URBN,0.09%,Specialty Retail,US,---,"$47,351,958.90 ","1,139,638"
2264235,Cathay General Bancorp,CATY,0.09%,Banks,US,---,"$47,338,401.55 ","1,212,251"
BMP8TL6,CareTrust REIT Inc,CTRE,0.09%,Health Care REITs,US,---,"$47,167,116.96 ","2,090,741"
BD9G2S1,Gates Industrial Corp PLC,GTES,0.09%,Machinery,US,---,"$47,109,696.64 ","3,200,387"
BDC6HG1,First Hawaiian Inc,FHB,0.09%,Banks,US,---,"$47,095,820.48 ","2,246,938"
BC9S149,Physicians Realty Trust,2392595D,0.09%,Health Care REITs,US,---,"$47,069,646.60 ","4,191,420"
2267171,American States Water Co,AWR,0.09%,Water Utilities,US,---,"$46,329,594.03 ","648,783"
2814210,SkyWest Inc,SKYW,0.09%,Passenger Airlines,US,---,"$46,279,115.48 ","720,634"
2321583,ESCO Technologies Inc,ESE,0.09%,Machinery,US,---,"$46,084,031.88 ","452,292"
BKLKXD2,O-I Glass Inc,OI,0.09%,Containers & Packaging,US,---,"$45,934,026.84 ","2,714,777"
2692160,Plexus Corp,PLXS,0.09%,"Electronic Equipment, Instruments & Components",US,---,"$45,642,966.40 ","483,506"
2510682,Leggett & Platt Inc,LEG,0.09%,Household Durables,US,---,"$45,533,598.26 ","2,229,853"
2420640,Highwoods Properties Inc,HIW,0.09%,Office REITs,US,---,"$45,501,841.20 ","1,861,016"
2942605,Avista Corp,AVA,0.08%,Multi-Utilities,US,---,"$45,228,858.00 ","1,362,315"
2940375,WSFS Financial Corp,WSFS,0.08%,Banks,US,---,"$45,172,225.26 ","1,065,634"
BRJTVC5,BGC Group Inc,BGC,0.08%,Capital Markets,US,---,"$44,953,969.15 ","6,468,197"
BGL0KF5,SITE Centers Corp,SITC,0.08%,Retail REITs,US,---,"$44,901,699.64 ","3,306,458"
2466428,UniFirst Corp/MA,UNF,0.08%,Commercial Services & Supplies,US,---,"$44,866,866.00 ","265,925"
2764188,SM Energy Co,SM,0.08%,"Oil, Gas & Consumable Fuels",US,---,"$44,802,753.15 ","1,023,595"
