SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
B2QXCJ9,Quanex Building Products Corp,NX,0.04%,Building Products,US,---,"$20,076,283.50 ","580,575"
BNTW041,Claros Mortgage Trust Inc,CMTG,0.04%,Mortgage Real Estate Investment Trusts (REITs),US,---,"$20,002,781.04 ","2,066,403"
2781109,S&T Bancorp Inc,STBA,0.04%,Banks,US,---,"$19,944,882.16 ","639,464"
B5L3PZ2,Pilgrim's Pride Corp,PPC,0.04%,Food Products,US,---,"$19,911,239.52 ","625,353"
BMCQX44,SIRIUSPOINT LTD,SPNT,0.04%,Insurance,US,---,"$19,909,817.34 ","1,622,642"
2942304,Elme Communities,ELME,0.04%,Residential REITs,US,---,"$19,877,652.48 ","1,543,296"
BKRT1C8,Service Properties Trust,SVC,0.04%,Hotel & Resort REITs,US,---,"$19,830,500.00 ","2,916,250"
B0X46B1,Koppers Holdings Inc,KOP,0.04%,Chemicals,US,---,"$19,723,350.52 ","348,346"
2923804,Universal Corp/VA,UVV,0.04%,Tobacco,US,---,"$19,613,381.27 ","408,527"
B15CJ33,Kaiser Aluminum Corp,KALU,0.04%,Metals & Mining,US,---,"$19,431,588.96 ","267,948"
BL97B49,Krispy Kreme Inc,DNUT,0.04%,"Hotels, Restaurants & Leisure",US,---,"$19,219,096.18 ","1,485,247"
2171603,Provident Financial Services Inc,PFS,0.04%,Banks,US,---,"$19,065,704.32 ","1,264,304"
2767756,ScanSource Inc,SCSC,0.04%,"Electronic Equipment, Instruments & Components",US,---,"$18,986,918.61 ","439,207"
2443078,Encore Capital Group Inc,ECPG,0.04%,Consumer Finance,US,---,"$18,890,688.00 ","393,556"
BN14T59,Franklin BSP Realty Trust Inc,FBRT,0.04%,Mortgage Real Estate Investment Trusts (REITs),US,---,"$18,673,863.15 ","1,446,465"
2946845,Weis Markets Inc,WMK,0.03%,Consumer Staples Distribution & Retail,US,---,"$18,455,233.66 ","284,189"
BVYJBR3,Zillow Group Inc,ZG,0.03%,Real Estate Management & Development,US,---,"$18,407,430.00 ","340,500"
2090816,Benchmark Electronics Inc,BHE,0.03%,"Electronic Equipment, Instruments & Components",US,---,"$18,290,998.84 ","595,604"
2418601,Hecla Mining Co,HL,0.03%,Metals & Mining,US,---,"$18,203,175.60 ","5,142,140"
2196190,Nelnet Inc,NNI,0.03%,Consumer Finance,US,---,"$18,133,167.90 ","211,170"
2476513,WisdomTree Inc,WT,0.03%,Capital Markets,US,---,"$18,124,231.84 ","2,248,664"
BS70KN1,Worthington Steel Inc,WS,0.03%,Metals & Mining,US,---,"$18,095,937.86 ","571,571"
BMFQC33,Hayward Holdings Inc,HAYW,0.03%,Building Products,US,---,"$18,070,348.05 ","1,221,795"
B0PZN33,Brookdale Senior Living Inc,BKD,0.03%,Health Care Providers & Services,US,---,"$17,994,702.44 ","3,145,927"
BM8NHT2,Ecovyst Inc,ECVT,0.03%,Chemicals,US,---,"$17,752,226.85 ","1,839,609"
2600088,Monro Inc,MNRO,0.03%,Specialty Retail,US,---,"$17,656,544.34 ","525,962"
BVZCNC0,Chimera Investment Corp,CIM,0.03%,Mortgage Real Estate Investment Trusts (REITs),US,---,"$17,421,282.52 ","3,995,707"
2779234,Scholastic Corp,SCHL,0.03%,Media,US,---,"$17,330,172.64 ","439,406"
BG6N6K6,Chegg Inc,CHGG,0.03%,Diversified Consumer Services,US,---,"$17,321,661.24 ","1,937,546"
BNM5672,Hertz Global Holdings Inc,HTZ,0.03%,Ground Transportation,US,---,"$17,217,703.30 ","2,193,338"
B1XHRL4,TriMas Corp,TRS,0.03%,Containers & Packaging,US,---,"$17,127,810.50 ","728,843"
BRJ8H91,ARMOUR Residential REIT Inc,ARR,0.03%,Mortgage Real Estate Investment Trusts (REITs),US,---,"$17,083,657.80 ","862,811"
BN2W9T6,Apartment Investment and Management Co,AIV,0.03%,Residential REITs,US,---,"$17,039,504.88 ","2,308,876"
BSHZ3P9,PRA Group Inc,PRAA,0.03%,Consumer Finance,US,---,"$16,783,079.40 ","656,615"
BMYVSM0,Callon Petroleum Co,CPE,0.03%,"Oil, Gas & Consumable Fuels",US,---,"$16,716,966.08 ","536,488"
BLFDXF6,StepStone Group Inc,STEP,0.03%,Capital Markets,US,---,"$16,645,463.86 ","479,282"
2417619,Healthcare Services Group Inc,HCSG,0.03%,Commercial Services & Supplies,US,---,"$16,595,400.80 ","1,300,580"
B6T6J81,Proto Labs Inc,PRLB,0.03%,Machinery,US,---,"$16,545,012.37 ","454,159"
B7M66F1,MRC Global Inc,MRC,0.03%,Trading Companies & Distributors,US,---,"$16,262,822.87 ","1,410,479"
2060370,Astec Industries Inc,ASTE,0.03%,Machinery,US,---,"$16,256,808.40 ","400,414"
2118707,Fresh Del Monte Produce Inc,FDP,0.03%,Food Products,US,---,"$16,228,368.80 ","678,160"
B3N6F00,Thermon Group Holdings Inc,THR,0.03%,Electrical Equipment,US,---,"$16,213,261.90 ","594,110"
BYSPYB3,National Western Life Group Inc,NWLI,0.03%,Insurance,US,---,"$16,159,131.24 ","33,278"
BH3T5K7,Enerpac Tool Group Corp,EPAC,0.03%,Machinery,US,---,"$16,131,718.24 ","478,544"
B034L49,B&G Foods Inc,BGS,0.03%,Food Products,US,---,"$15,991,991.40 ","1,384,588"
BCBVTX1,Agios Pharmaceuticals Inc,AGIO,0.03%,Biotechnology,US,---,"$15,908,421.12 ","492,216"
BN7VBP8,BrightSpire Capital Inc,BRSP,0.03%,Mortgage Real Estate Investment Trusts (REITs),US,---,"$15,827,852.52 ","2,290,572"
2492337,Hain Celestial Group Inc/The,HAIN,0.03%,Food Products,US,---,"$15,809,700.00 ","1,580,970"
2782038,Mativ Holdings Inc,MATV,0.03%,Chemicals,US,---,"$15,752,279.79 ","906,867"
B64B9P8,Hudson Pacific Properties Inc,HPP,0.03%,Office REITs,US,---,"$15,749,878.72 ","2,484,208"
2208136,Coeur Mining Inc,CDE,0.03%,Metals & Mining,US,---,"$15,707,321.77 ","6,064,603"
BNR4QY1,Crescent Energy Co,CRGY,0.03%,"Oil, Gas & Consumable Fuels",US,---,"$15,699,425.56 ","1,404,242"
2606570,Berkshire Hills Bancorp Inc,BHLB,0.03%,Banks,US,---,"$15,694,232.96 ","730,304"
BNZFTG9,Enact Holdings Inc,ACT,0.03%,Financial Services,US,---,"$15,594,495.84 ","562,572"
BDDXF67,Innoviva Inc,INVA,0.03%,Pharmaceuticals,US,---,"$15,522,646.40 ","1,015,880"
2895163,United Natural Foods Inc,UNFI,0.03%,Consumer Staples Distribution & Retail,US,---,"$15,502,462.71 ","993,111"
BYVN953,Schneider National Inc,SNDR,0.03%,Ground Transportation,US,---,"$15,498,655.35 ","658,117"
BFFVV54,Avanos Medical Inc,AVNS,0.03%,Health Care Equipment & Supplies,US,---,"$15,185,858.91 ","817,763"
BNLYJ71,Couchbase Inc,BASE,0.03%,IT Services,US,---,"$15,130,121.76 ","538,822"
BN4G703,AMC Entertainment Holdings Inc,AMC,0.03%,Entertainment,US,---,"$15,097,000.32 ","3,494,676"
B3NTLD4,American Assets Trust Inc,AAT,0.03%,Diversified REITs,US,---,"$15,000,640.80 ","695,440"
2260363,Deluxe Corp,DLX,0.03%,Commercial Services & Supplies,US,---,"$14,923,553.19 ","768,859"
BK95GR4,LendingClub Corp,LC,0.03%,Consumer Finance,US,---,"$14,880,584.84 ","1,834,844"
BFWGXV2,Marcus & Millichap Inc,MMI,0.03%,Real Estate Management & Development,US,---,"$14,857,065.15 ","404,935"
BN47P80,Centerspace,CSR,0.03%,Residential REITs,US,---,"$14,737,075.77 ","265,103"
2568090,Matthews International Corp,MATW,0.03%,Commercial Services & Supplies,US,---,"$14,724,324.72 ","508,788"
BM9NG38,E2open Parent Holdings Inc,ETWO,0.03%,Software,US,---,"$14,687,456.76 ","3,472,212"
2967675,Brookline Bancorp Inc,BRKL,0.03%,Banks,US,---,"$14,534,301.42 ","1,487,646"
B0539H3,Herbalife Ltd,HLF,0.03%,Personal Care Products,US,---,"$14,531,610.47 ","1,645,709"
2030674,American Woodmark Corp,AMWD,0.03%,Building Products,US,---,"$14,490,293.44 ","144,556"
BPLYVQ8,Liberty Media Corp-Liberty Live,LLYVA,0.03%,Entertainment,US,---,"$14,487,843.70 ","375,430"
BMXWYR1,Embecta Corp,EMBC,0.03%,Health Care Equipment & Supplies,US,---,"$14,413,875.00 ","1,009,375"
BHRWS81,Levi Strauss & Co,LEVI,0.03%,"Textiles, Apparel & Luxury Goods",US,---,"$14,405,757.44 ","792,832"
BVGC697,Vista Outdoor Inc,VSTO,0.03%,Leisure Products,US,---,"$14,359,737.60 ","460,248"
2786687,Seaboard Corp,SEB,0.03%,Food Products,US,---,"$14,090,610.74 ","4,286"
BNKGY06,First Advantage Corp,FA,0.03%,Professional Services,US,---,"$14,001,684.30 ","894,105"
BDRW1P1,REV Group Inc,REVG,0.03%,Machinery,US,---,"$13,974,126.24 ","677,041"
B3M3278,Piedmont Office Realty Trust Inc,PDM,0.03%,Office REITs,US,---,"$13,661,928.72 ","2,178,936"
2382416,American Axle & Manufacturing Holdings Inc,AXL,0.03%,Automobile Components,US,---,"$13,546,384.40 ","1,957,570"
2677640,Pediatrix Medical Group Inc,MD,0.03%,Health Care Providers & Services,US,---,"$13,539,538.65 ","1,479,731"
2977500,Wolverine World Wide Inc,WWW,0.03%,"Textiles, Apparel & Luxury Goods",US,---,"$13,533,930.90 ","1,330,770"
2856289,Sturm Ruger & Co Inc,RGR,0.03%,Leisure Products,US,---,"$13,519,998.72 ","312,096"
BFNF1D6,Amneal Pharmaceuticals Inc,AMRX,0.03%,Pharmaceuticals,US,---,"$13,491,338.16 ","2,444,083"
BFYVKR0,Victory Capital Holdings Inc,VCTR,0.03%,Capital Markets,US,---,"$13,396,467.42 ","348,594"
2938002,Air Transport Services Group Inc,ATSG,0.02%,Air Freight & Logistics,US,---,"$13,187,247.48 ","1,092,564"
2387109,Guess? Inc,GES,0.02%,Specialty Retail,US,---,"$13,174,021.98 ","519,071"
B3KWJV0,Capitol Federal Financial Inc,CFFN,0.02%,Banks,US,---,"$13,172,458.44 ","2,275,036"
2487117,Kelly Services Inc,KELYA,0.02%,Professional Services,US,---,"$13,113,958.77 ","534,609"
2518954,Brandywine Realty Trust,BDN,0.02%,Office REITs,US,---,"$13,052,275.90 ","3,035,413"
BK8MDM0,Helios Technologies Inc,HLIO,0.02%,Machinery,US,---,"$12,836,744.95 ","290,753"
2583297,Methode Electronics Inc,MEI,0.02%,"Electronic Equipment, Instruments & Components",US,---,"$12,833,739.90 ","602,523"
2730877,Redwood Trust Inc,RWT,0.02%,Mortgage Real Estate Investment Trusts (REITs),US,---,"$12,769,727.89 ","2,083,153"
B3RDWC8,MaxLinear Inc,MXL,0.02%,Semiconductors & Semiconductor Equipment,US,---,"$12,552,233.04 ","645,691"
2456957,Dine Brands Global Inc,DIN,0.02%,"Hotels, Restaurants & Leisure",US,---,"$12,536,051.22 ","258,422"
BM9XCN0,F&G Annuities & Life Inc,FG,0.02%,Insurance,US,---,"$12,518,251.88 ","331,346"
B7ZKH46,Ambac Financial Group Inc,AMBC,0.02%,Insurance,US,---,"$12,369,468.80 ","756,080"
BDQYWV1,Varex Imaging Corp,VREX,0.02%,Health Care Equipment & Supplies,US,---,"$12,268,175.20 ","713,266"
BYXR9C0,ProPetro Holding Corp,PUMP,0.02%,Energy Equipment & Services,US,---,"$12,215,971.80 ","1,650,807"
BGJRH35,Clearway Energy Inc,CWEN/A,0.02%,Independent Power and Renewable Electricity Producers,US,---,"$12,149,739.66 ","599,691"
2125246,Sonic Automotive Inc,SAH,0.02%,Specialty Retail,US,---,"$12,126,975.00 ","230,990"
2795542,Semtech Corp,SMTC,0.02%,Semiconductors & Semiconductor Equipment,US,---,"$11,967,760.40 ","564,517"
2648055,Eagle Bancorp Inc,EGBN,0.02%,Banks,US,---,"$11,927,150.40 ","500,720"
2690506,Pitney Bowes Inc,PBI,0.02%,Commercial Services & Supplies,US,---,"$11,889,580.04 ","2,950,268"
B5T0CW1,Anywhere Real Estate Inc,HOUS,0.02%,Real Estate Management & Development,US,---,"$11,576,206.95 ","1,846,285"
BWX4MD9,Caleres Inc,CAL,0.02%,Specialty Retail,US,---,"$11,478,946.05 ","297,305"
BDRY7P9,Altice USA Inc,ATUS,0.02%,Media,US,---,"$11,376,486.99 ","3,830,467"
BD0MGM0,Kiniksa Pharmaceuticals Ltd,KNSA,0.02%,Biotechnology,US,---,"$11,205,700.94 ","530,071"
2612737,ProAssurance Corp,PRA,0.02%,Insurance,US,---,"$11,067,999.84 ","897,648"
2828147,Heartland Financial USA Inc,HTLF,0.02%,Banks,US,---,"$10,855,248.00 ","319,272"
BD8NBC0,Lions Gate Entertainment Corp,LGF/A,0.02%,Entertainment,US,---,"$10,792,140.66 ","1,111,446"
2616870,Nu Skin Enterprises Inc,NUS,0.02%,Personal Care Products,US,---,"$10,776,775.00 ","862,142"
2414018,Heartland Express Inc,HTLD,0.02%,Ground Transportation,US,---,"$10,671,619.50 ","835,025"
B7LG306,Hyster-Yale Materials Handling Inc,HY,0.02%,Machinery,US,---,"$10,665,346.56 ","181,137"
BYWLRV8,Conduent Inc,CNDT,0.02%,Professional Services,US,---,"$10,532,079.44 ","3,061,651"
2789523,Omnicell Inc,OMCL,0.02%,Health Care Equipment & Supplies,US,---,"$10,494,268.16 ","399,934"
BMX7WP0,SolarWinds Corp,SWI,0.02%,Software,US,---,"$10,462,938.42 ","876,293"
BF16ZX9,Forestar Group Inc,FOR,0.02%,Real Estate Management & Development,US,---,"$10,371,867.36 ","307,588"
BN4JNC6,Klaviyo Inc,KVYO,0.02%,Software,US,---,"$10,216,439.00 ","385,526"
BYXHTC0,Cars.com Inc,CARS,0.02%,Interactive Media & Services,US,---,"$10,163,111.00 ","554,150"
2028174,U-Haul Holding Co,UHAL,0.02%,Ground Transportation,US,---,"$10,136,631.00 ","157,450"
BJNPYY6,Cerence Inc,CRNC,0.02%,Software,US,---,"$10,055,816.30 ","674,887"
BPBLNG3,Udemy Inc,UDMY,0.02%,Diversified Consumer Services,US,---,"$9,917,049.50 ","877,615"
B4WXG84,United Fire Group Inc,UFCS,0.02%,Insurance,US,---,"$9,844,124.04 ","422,676"
2267698,USANA Health Sciences Inc,USNA,0.02%,Personal Care Products,US,---,"$9,753,683.82 ","202,107"
2888613,Tompkins Financial Corp,TMP,0.02%,Banks,US,---,"$9,735,544.00 ","202,150"
BMZ2WT7,Bumble Inc,BMBL,0.02%,Interactive Media & Services,US,---,"$9,643,224.35 ","842,203"
BJHVCH9,Clear Channel Outdoor Holdings Inc,CCO,0.02%,Media,US,---,"$9,511,971.52 ","5,530,216"
BDCBXH9,Camping World Holdings Inc,CWH,0.02%,Specialty Retail,US,---,"$9,462,725.98 ","354,542"
2893071,Triumph Group Inc,TGI,0.02%,Aerospace & Defense,US,---,"$9,407,923.10 ","676,829"
BN78784,Pactiv Evergreen Inc,PTVE,0.02%,Containers & Packaging,US,---,"$9,272,794.00 ","628,664"
BLB0YH0,Day One Biopharmaceuticals Inc,DAWN,0.02%,Biotechnology,US,---,"$8,977,602.41 ","536,617"
B0G7SZ5,ACCO Brands Corp,ACCO,0.02%,Commercial Services & Supplies,US,---,"$8,861,614.74 ","1,588,103"
BLH3WV3,Duckhorn Portfolio Inc/The,NAPA,0.02%,Beverages,US,---,"$8,694,897.90 ","914,290"
BMBX3P7,Vitesse Energy Inc,VTS,0.02%,"Oil, Gas & Consumable Fuels",US,---,"$8,643,150.69 ","380,253"
2821298,Radius Recycling Inc,RDUS,0.02%,Metals & Mining,US,---,"$8,553,748.32 ","432,882"
2777777,Saul Centers Inc,BFS,0.02%,Retail REITs,US,---,"$8,394,740.97 ","231,963"
BF0YMC2,KKR Real Estate Finance Trust Inc,KREF,0.02%,Mortgage Real Estate Investment Trusts (REITs),US,---,"$8,333,178.75 ","854,685"
BRJX4J5,Sinclair Inc,SBGI,0.02%,Media,US,---,"$8,314,737.75 ","559,915"
2202763,Compass Minerals International Inc,CMP,0.02%,Metals & Mining,US,---,"$8,263,951.20 ","362,454"
B298495,Kennedy-Wilson Holdings Inc,KW,0.02%,Real Estate Management & Development,US,---,"$8,091,928.96 ","921,632"
2918996,United States Cellular Corp,USM,0.01%,Wireless Telecommunication Services,US,---,"$7,987,542.15 ","228,935"
BJ9J282,Designer Brands Inc,DBI,0.01%,Specialty Retail,US,---,"$7,968,924.48 ","754,633"
BQFMQ93,Enhabit Inc,EHAB,0.01%,Health Care Providers & Services,US,---,"$7,946,127.00 ","882,903"
BFMB9P3,Columbia Financial Inc,CLBK,0.01%,Banks,US,---,"$7,728,741.37 ","461,969"
BKVDKY1,Multiplan Corp,MPLN,0.01%,Health Care Technology,US,---,"$7,687,009.12 ","6,863,401"
2934033,Medifast Inc,MED,0.01%,Personal Care Products,US,---,"$7,685,693.99 ","191,711"
B86V808,Interface Inc,TILE,0.01%,Commercial Services & Supplies,US,---,"$7,642,655.28 ","486,174"
BMBR683,N-able Inc,NABL,0.01%,Software,US,---,"$7,593,995.37 ","563,771"
BRBCSP4,CG oncology Inc,CGON,0.01%,Biotechnology,US,---,"$7,458,432.78 ","166,818"
2379281,Gorman-Rupp Co/The,GRC,0.01%,Machinery,US,---,"$7,319,255.77 ","196,069"
2183868,Central Garden & Pet Co,CENT,0.01%,Household Products,US,---,"$7,318,217.92 ","166,816"
2626802,National Presto Industries Inc,NPK,0.01%,Aerospace & Defense,US,---,"$7,233,680.19 ","93,543"
2981181,World Acceptance Corp,WRLD,0.01%,Consumer Finance,US,---,"$7,221,767.52 ","60,302"
BNRR1B2,Atmus Filtration Technologies Inc,ATMU,0.01%,Automobile Components,US,---,"$7,181,790.77 ","300,871"
B4MG4Z6,AMC Networks Inc,AMCX,0.01%,Media,US,---,"$6,944,639.20 ","536,680"
BKF9D68,AssetMark Financial Holdings Inc,AMK,0.01%,Capital Markets,US,---,"$6,933,867.15 ","196,149"
2200552,BJ's Restaurants Inc,BJRI,0.01%,"Hotels, Restaurants & Leisure",US,---,"$6,807,852.98 ","194,399"
BMGH6N3,ZipRecruiter Inc,ZIP,0.01%,Interactive Media & Services,US,---,"$6,791,220.72 ","533,901"
BZ1N455,RMR Group Inc/The,RMR,0.01%,Real Estate Management & Development,US,---,"$6,431,327.75 ","262,825"
2966865,Rush Enterprises Inc,RUSHB,0.01%,Trading Companies & Distributors,US,---,"$6,273,239.85 ","124,395"
B3ZG8F4,Spirit Airlines Inc,SAVE,0.01%,Passenger Airlines,US,---,"$6,200,681.70 ","961,346"
BNKT9M2,Core Laboratories Inc,CLB,0.01%,Energy Equipment & Services,US,---,"$6,158,867.58 ","411,414"
BY3H7G0,Kearny Financial Corp/MD,KRNY,0.01%,Banks,US,---,"$6,144,879.36 ","966,176"
BNDQ9Y2,GCM Grosvenor Inc,GCMG,0.01%,Capital Markets,US,---,"$6,127,460.57 ","723,431"
BFZP4T1,GrafTech International Ltd,EAF,0.01%,Electrical Equipment,US,---,"$5,970,083.68 ","3,392,093"
BF950B1,TTEC Holdings Inc,TTEC,0.01%,Professional Services,US,---,"$5,830,655.75 ","334,135"
B3M7R64,Summit Hotel Properties Inc,INN,0.01%,Hotel & Resort REITs,US,---,"$5,778,083.46 ","900,013"
BG0ZML1,BrightView Holdings Inc,BV,0.01%,Commercial Services & Supplies,US,---,"$5,743,783.37 ","659,447"
BMYGG87,Smith & Wesson Brands Inc,SWBI,0.01%,Leisure Products,US,---,"$5,579,144.31 ","406,347"
2412700,Enviri Corp,NVRI,0.01%,Commercial Services & Supplies,US,---,"$5,532,198.12 ","703,842"
BNC2MS6,Advantage Solutions Inc,ADV,0.01%,Media,US,---,"$5,476,063.47 ","1,437,287"
BMYR6Y6,Thoughtworks Holding Inc,TWKS,<0.01%,IT Services,US,---,"$5,246,442.24 ","1,681,552"
BN2QTD2,Excelerate Energy Inc,EE,<0.01%,"Oil, Gas & Consumable Fuels",US,---,"$5,083,691.40 ","323,802"
BMDJ3B9,UWM Holdings Corp,UWMC,<0.01%,Financial Services,US,---,"$5,004,937.74 ","784,473"
BMNQC35,GoPro Inc,GPRO,<0.01%,Household Durables,US,---,"$4,924,873.98 ","2,104,647"
2862532,EW Scripps Co/The,SSP,<0.01%,Media,US,---,"$4,901,680.94 ","1,216,298"
2014021,Alexander's Inc,ALX,<0.01%,Retail REITs,US,---,"$4,472,283.60 ","20,232"
BQ3R1Y0,Getty Images Holdings Inc,GETY,<0.01%,Interactive Media & Services,US,---,"$4,179,937.60 ","885,580"
BF2F1Q0,TPG RE Finance Trust Inc,TRTX,<0.01%,Mortgage Real Estate Investment Trusts (REITs),US,---,"$4,102,159.16 ","548,417"
2398855,Forrester Research Inc,FORR,<0.01%,Professional Services,US,---,"$4,100,318.96 ","203,288"
BPJM8Q3,BrightSpring Health Services Inc,BTSG,<0.01%,Health Care Providers & Services,US,---,"$4,053,492.11 ","450,889"
BL53YS6,Bridge Investment Group Holdings Inc,BRDG,<0.01%,Capital Markets,US,---,"$4,019,647.50 ","535,953"
BQV3RS6,Xperi Inc,XPER,<0.01%,Software,US,---,"$3,989,998.96 ","364,051"
BNRQM83,Petco Health & Wellness Co Inc,WOOF,<0.01%,Specialty Retail,US,---,"$3,685,983.60 ","1,417,686"
2166397,Kronos Worldwide Inc,KRO,<0.01%,Chemicals,US,---,"$3,683,849.76 ","405,264"
BNBV240,BRC Inc,BRCC,<0.01%,Food Products,US,---,"$3,449,632.06 ","835,262"
BPCJW03,ProFrac Holding Corp,ACDC,<0.01%,Energy Equipment & Services,US,---,"$3,444,941.56 ","421,142"
2115902,OPKO Health Inc,OPK,<0.01%,Health Care Providers & Services,US,---,"$3,403,811.00 ","3,403,811"
B3WNNP3,Green Dot Corp,GDOT,<0.01%,Consumer Finance,US,---,"$3,226,759.88 ","393,028"
BNXK803,NuScale Power Corp,SMR,<0.01%,Electrical Equipment,US,---,"$3,138,746.90 ","1,012,499"
BZ6CCH5,loanDepot Inc,LDI,<0.01%,Financial Services,US,---,"$2,696,107.35 ","1,057,297"
BVFNZL6,Digital Turbine Inc,APPS,<0.01%,Software,US,---,"$2,684,264.07 ","846,771"
BMXDS27,Cricut Inc,CRCT,<0.01%,Household Durables,US,---,"$2,455,383.63 ","508,361"
2394080,Greif Inc,GEF/B,<0.01%,Containers & Packaging,US,---,"$2,344,924.56 ","36,628"
BL95N25,Phibro Animal Health Corp,PAHC,<0.01%,Pharmaceuticals,US,---,"$2,317,663.71 ","179,247"
BFRBX34,CommScope Holding Co Inc,COMM,<0.01%,Communications Equipment,US,---,"$2,069,279.99 ","1,776,206"
BNKJ933,Olaplex Holdings Inc,OLPX,<0.01%,Personal Care Products,US,---,"$1,607,237.16 ","864,106"
BKTNTP7,Paramount Global,PARAA,<0.01%,Media,US,---,"$1,491,431.08 ","70,751"
BM9CKX3,23andMe Holding Co,ME,<0.01%,Health Care Providers & Services,US,---,"$1,487,829.96 ","2,610,228"
BNQQ6C6,Beauty Health Co/The,SKIN,<0.01%,Personal Care Products,US,---,"$1,250,148.60 ","375,420"
BRDV332,Net Power Inc,NPWR,<0.01%,Electrical Equipment,US,---,"$997,704.06 ","122,118"
BYQN8D9,WideOpenWest Inc,WOW,<0.01%,Media,US,---,"$885,496.00 ","221,374"
BZ6VMW7,Associated Capital Group Inc,AC,<0.01%,Capital Markets,US,---,"$825,842.00 ","24,652"
BLBM4T8,OPAL Fuels Inc,OPAL,<0.01%,"Oil, Gas & Consumable Fuels",US,---,"$764,876.48 ","160,016"
BND9KF9,ProKidney Corp,PROK,<0.01%,Biotechnology,US,---,"$385,775.36 ","236,672"
BN4JN37,Neumora Therapeutics Inc,NMRA,<0.01%,Pharmaceuticals,US,---,"$87,867.92 ","4,984"
BN4L6W3,Maplebear Inc,CART,<0.01%,Consumer Staples Distribution & Retail,US,---,"$77,607.90 ","2,385"
BR2P4V0,MSP Recovery Inc,LIFW,<0.01%,Health Care Providers & Services,US,---,"$38,822.90 ","45,674"
B60WSC5,Synergy Pharmaceuticals LLC,SGYPQ,<0.01%,Biotechnology,US,---,$11.70 ,"1,169,882"
---,OMNIAB INC - 15 EARNOUT,---,<0.01%,---,US,---,$0.54 ,"53,581"
---,OMNIAB INC - 12.5 EARNOUT,---,<0.01%,---,US,---,$0.54 ,"53,581"
BDFS3G6,Ready Capital Corp,RC,<0.01%,Mortgage Real Estate Investment Trusts (REITs),US,---,$0.18 ,0.02
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
